date,marketCap
2025-03-04,1943093029
2025-02-25,1975785340
2025-02-18,2022333148
2025-02-11,2006363262
2025-02-04,2139090034
2025-01-28,3080859666
2025-01-21,3059589747
2025-01-14,3378333521
2025-01-07,4201449693
2024-12-31,3385168578
2024-12-24,3276355288
2024-12-17,4726889648
2024-12-10,5392967476
2024-12-03,4792486218
2024-11-26,3994960180
2024-11-19,3274280686
2024-11-12,3779764368
2024-11-05,2995158409
2024-10-29,3310165205
2024-10-22,3802539895
2024-10-15,3859105508
2024-10-08,3834321259
2024-10-01,4215783622
2024-09-24,4066729236
2024-09-17,3380746195
2024-09-10,2777189208
2024-09-03,2885260902
2024-08-27,3434844179
2024-08-20,2060899779
2024-08-13,2062297804
2024-08-06,2329458881
2024-07-30,3140721297
2024-07-23,3750755060
2024-07-16,3169870204
2024-07-09,2796042325
2024-07-02,3596713875
2024-06-25,3531798948
2024-06-18,3712611681
2024-06-11,4370340859
2024-06-04,5250212283
2024-05-28,5637769341
2024-05-21,5547396248
2024-05-14,5469257277
2024-05-07,5941064404
2024-04-30,2255179346
2024-04-23,2517683898
2024-04-16,2326835099
2024-04-09,2827815087
2024-04-02,3178179085
2024-03-26,2704280961
2024-03-19,2943565053
2024-03-12,2869702581
2024-03-05,1850540563
2024-02-27,1153819133
2024-02-20,858008294
2024-02-13,656991777
2024-02-06,546128890
2024-01-30,628460504
2024-01-23,620885010
2024-01-16,685541380
2024-01-09,643283040
2024-01-02,703892286
2023-12-26,744362327
2023-12-19,665917331
2023-12-12,550092713
2023-12-05,583783206
2023-11-28,559385915
2023-11-21,520485728
2023-11-14,443611153
2023-11-07,382800699
2023-10-31,380192393
2023-10-24,240768370
2023-10-17,220981384
2023-10-10,228844568
2023-10-03,244969027
2023-09-26,224125962
2023-09-19,235573842
2023-09-12,241149874
2023-09-05,269735556
2023-08-29,218853049
2023-08-22,213753883
2023-08-15,229114057
2023-08-08,204860990
2023-08-01,219062687
2023-07-25,233303856
2023-07-18,245961478
2023-07-11,226276906
2023-07-04,245899531
2023-06-27,238434985
2023-06-20,190941995
2023-06-13,190417114
2023-06-06,283250723
2023-05-30,282267154
2023-05-23,255561263
2023-05-16,254655254
2023-05-09,307423983
2023-05-02,347657118
2023-04-25,353027328
2023-04-18,423851637
2023-04-11,361836827
2023-04-04,366226583
2023-03-28,392308105
2023-03-21,446876224
2023-03-14,404013508
2023-03-07,449267847
2023-02-28,454307209
2023-02-21,434580701
2023-02-14,418276291
2023-02-07,473584399
2023-01-31,300582092
2023-01-24,278354610
2023-01-17,237817378
2023-01-10,145661179
