date,marketCap
2025-03-04,8700152823
2025-02-25,9027123845
2025-02-18,10349338744
2025-02-11,10538295630
2025-02-04,11691678218
2025-01-28,14054470688
2025-01-21,14750629511
2025-01-14,14516109603
2025-01-07,18034855169
2024-12-31,14704857249
2024-12-24,15986905210
2024-12-17,20161695671
2024-12-10,18487535733
2024-12-03,21305517597
2024-11-26,16942486459
2024-11-19,14440652968
2024-11-12,14475593522
2024-11-05,9242062392
2024-10-29,10705600871
2024-10-22,11300216352
2024-10-15,11859230710
2024-10-08,10807436347
2024-10-01,11237098859
2024-09-24,11123245568
2024-09-17,9555080123
2024-09-10,9685194286
2024-09-03,9043049588
2024-08-27,10510995481
2024-08-20,8397808321
2024-08-13,8414224558
2024-08-06,7709238687
2024-07-30,10718146708
2024-07-23,12602160496
2024-07-16,10963197843
2024-07-09,9947332738
2024-07-02,11368222452
2024-06-25,9793416677
2024-06-18,11205402634
2024-06-11,12699144299
2024-06-04,13762231081
2024-05-28,15015221572
2024-05-21,15361077578
2024-05-14,12378103768
2024-05-07,14138616289
2024-04-30,13485101779
2024-04-23,14830032760
2024-04-16,13289167018
2024-04-09,18864987540
2024-04-02,19449534279
2024-03-26,21687299123
2024-03-19,22814010960
2024-03-12,18422886389
2024-03-05,16227983820
2024-02-27,14823120858
2024-02-20,14508050624
2024-02-13,15062326645
2024-02-06,12673035492
2024-01-30,13256135465
2024-01-23,10812799593
2024-01-16,13074305097
2024-01-09,13231190704
2024-01-02,15329094758
2023-12-26,17649619891
2023-12-19,14992460920
2023-12-12,14068095298
2023-12-05,8195856524
2023-11-28,7429981314
2023-11-21,7394275556
2023-11-14,5781330924
2023-11-07,4635444238
2023-10-31,4061133985
2023-10-24,3718133154
2023-10-17,3340702343
2023-10-10,3380973937
2023-10-03,3307748829
2023-09-26,3163807905
2023-09-19,3225689404
2023-09-12,3262121122
2023-09-05,3461022662
2023-08-29,3664327900
2023-08-22,3566579499
2023-08-15,4247381664
2023-08-08,4309369284
2023-08-01,4441640925
2023-07-25,4531494064
2023-07-18,4985308736
2023-07-11,4624874661
2023-07-04,4565728788
2023-06-27,4527092186
2023-06-20,3946509437
2023-06-13,3975783659
2023-06-06,4789687309
2023-05-30,4980747218
2023-05-23,4912464412
2023-05-16,5036630418
2023-05-09,5096828007
2023-05-02,5475575239
2023-04-25,5532364680
2023-04-18,6693551147
2023-04-11,5850863344
2023-04-04,5586018883
2023-03-28,5381674483
2023-03-21,5459326941
2023-03-14,5366193859
2023-03-07,5374138520
2023-02-28,5826157301
2023-02-21,6559040319
2023-02-14,5556547102
2023-02-07,6172268492
2023-01-31,6200969691
2023-01-24,5669227518
2023-01-17,5209996556
2023-01-10,3808286230
2023-01-03,3476073023
2022-12-27,3648145325
2022-12-20,3546824608
2022-12-13,4037880871
2022-12-06,4225243184
2022-11-29,3745540307
2022-11-22,3564562687
2022-11-15,3946553150
2022-11-08,5396277878
2022-11-01,5775047508
2022-10-25,4673816696
2022-10-18,4808057084
2022-10-11,4814324834
2022-10-04,5105360297
2022-09-27,5162522045
2022-09-20,5128126603
2022-09-13,6294701400
2022-09-06,5642232065
2022-08-30,5542192220
2022-08-23,6414941475
2022-08-16,7904215936
2022-08-09,7974127885
2022-08-02,6700928283
2022-07-26,6056208965
2022-07-19,6759004104
2022-07-12,4944935949
2022-07-05,5078009684
2022-06-28,5470613713
2022-06-21,4832366807
2022-06-14,4412824577
2022-06-07,7287882122
2022-05-31,7508370593
2022-05-24,7819159442
2022-05-17,8782139431
2022-05-10,11467821751
2022-05-03,16224636109
2022-04-26,19557292373
2022-04-19,20842054604
2022-04-12,19929328820
2022-04-05,25498906585
2022-03-29,24280414596
2022-03-22,23124499055
2022-03-15,18218747473
2022-03-08,19103616815
2022-03-01,20678374643
2022-02-22,17240927125
2022-02-15,20076170838
2022-02-08,20480016859
2022-02-01,17153285602
2022-01-25,15511054813
2022-01-18,21246442920
2022-01-11,20617858212
2022-01-04,26456464799
2021-12-28,27782515406
2021-12-21,27882474233
2021-12-14,19156344553
2021-12-07,22489811471
2021-11-30,26388981040
2021-11-23,30066351594
2021-11-16,20865448492
2021-11-09,20137026255
2021-11-02,14232109160
2021-10-26,15362424988
2021-10-19,12190231926
2021-10-12,12117207625
2021-10-05,14383469172
2021-09-28,14743177027
2021-09-21,12578040919
2021-09-14,11789711523
2021-09-07,10389481562
2021-08-31,7217849347
2021-08-24,8066378938
2021-08-17,3409276874
2021-08-10,2774101116
2021-08-03,2267904332
2021-07-27,1975304692
2021-07-20,1776502547
2021-07-13,2107097145
2021-07-06,2094752711
2021-06-29,1955042811
2021-06-22,1976836813
2021-06-15,2608466642
2021-06-08,2665865013
2021-06-01,2353206154
2021-05-25,2506451158
2021-05-18,4376339185
2021-05-11,4509349122
2021-05-04,4632809115
2021-04-27,3360216107
2021-04-20,3412628582
2021-04-13,4350727543
2021-04-06,3988965459
2021-03-30,3804266244
2021-03-23,3795055173
2021-03-16,3728828896
2021-03-09,2165237250
2021-03-02,2110163404
2021-02-23,2493656100
2021-02-16,2894940857
2021-02-09,2330220491
2021-02-02,1011744189
2021-01-26,942373983
2021-01-19,980149878
2021-01-12,500944759
2021-01-05,271901048
2020-12-29,227699110
2020-12-22,238990436
2020-12-15,241461627
2020-12-08,83108661
2020-12-01,91011244
2020-11-24,98827918
2020-11-17,90564376
2020-11-10,83349229
2020-11-03,88946751
2020-10-27,101700425
2020-10-20,99287196
2020-10-13,108582520
2020-10-06,97280079
2020-09-29,102464371
2020-09-22,124357933
