date,marketCap
2025-02-28,89068804316
2025-02-21,94979391301
2025-02-14,101731781963
2025-02-07,83082022023
2025-01-31,97443671696
2025-01-24,101394654320
2025-01-17,104240470661
2025-01-10,101710496645
2025-01-03,102979866967
2024-12-27,102473517267
2024-12-20,100187667140
2024-12-13,103655308925
2024-12-06,107467583157
2024-11-29,94131145638
2024-11-22,88607714965
2024-11-15,90601254693
2024-11-08,86248682357
2024-11-01,86969500510
2024-10-25,85255197630
2024-10-18,87633144280
2024-10-11,83220162034
2024-10-04,79089065108
2024-09-27,85624136607
2024-09-20,81414364603
2024-09-13,77464122683
2024-09-06,74082271440
2024-08-30,78331630414
2024-08-23,83056570988
2024-08-16,76380430420
2024-08-09,69405610033
2024-08-02,84116308113
2024-07-26,88376610702
2024-07-19,87605945219
2024-07-12,80718169617
2024-07-05,85665920084
2024-06-28,87994251271
2024-06-21,91968780053
2024-06-14,95223345273
2024-06-07,107455168165
2024-05-31,91603797198
2024-05-24,94552013228
2024-05-17,89750725895
2024-05-10,90472546734
2024-05-03,86647236480
2024-04-26,93635542240
2024-04-19,82333439697
2024-04-12,93728978737
2024-04-05,86761624020
2024-03-29,88283571539
2024-03-22,85594796096
2024-03-15,96122795409
2024-03-08,65872619718
2024-03-01,63859838283
2024-02-23,58359108672
2024-02-16,51395978506
2024-02-09,47401109068
2024-02-02,46192055347
2024-01-26,45131103088
2024-01-19,47591545232
2024-01-12,47011551416
2024-01-05,48556088398
2023-12-29,49503830704
2023-12-22,40038351864
2023-12-15,38799813552
2023-12-08,35399176878
2023-12-01,34980317653
2023-11-24,36327443508
2023-11-17,38967303592
2023-11-10,37918633729
2023-11-03,35060942101
2023-10-27,34186113925
2023-10-20,32411089799
2023-10-13,31762751583
2023-10-06,32826841264
2023-09-29,32606854014
2023-09-22,32962960482
2023-09-15,32688665264
2023-09-08,33085754713
2023-09-01,34441291078
2023-08-25,33297349379
2023-08-18,35682968644
2023-08-11,37541806214
2023-08-04,37035182391
2023-07-28,36768425085
2023-07-21,37593967248
2023-07-14,38043237563
2023-07-07,37284825811
2023-06-30,35938618431
2023-06-23,38934049356
2023-06-16,37009537060
2023-06-09,40930547462
2023-06-02,48465020079
2023-05-26,48339367035
2023-05-19,49564395154
2023-05-12,49662394090
2023-05-05,51423455643
2023-04-28,52172391454
2023-04-21,50996266810
2023-04-14,50587359530
2023-04-07,49641625564
2023-03-31,49577395649
2023-03-24,51090160091
2023-03-17,48551821321
2023-03-10,45478533321
2023-03-03,47810909893
2023-02-24,49367058958
2023-02-17,50074569839
