date,marketCap
2025-03-05,1827388404
2025-02-26,1952295711
2025-02-19,1994639959
2025-02-12,2052430326
2025-02-05,2036064206
2025-01-29,2460298999
2025-01-22,2691772884
2025-01-15,2705999155
2025-01-08,2655545803
2025-01-01,2417690623
2024-12-25,2755761043
2024-12-18,3326207088
2024-12-11,3098371094
2024-12-04,3761322783
2024-11-27,3129026785
2024-11-20,2449686749
2024-11-13,2085544152
2024-11-06,1638456133
2024-10-30,1768719619
2024-10-23,1869941191
2024-10-16,1749217833
2024-10-09,1698522514
2024-10-02,1738788055
2024-09-25,1885986773
2024-09-18,1634819144
2024-09-11,1613139061
2024-09-04,1610349172
2024-08-28,1796988378
2024-08-21,1871988425
2024-08-14,1957382117
2024-08-07,1910647019
2024-07-31,2348405974
2024-07-24,2413137655
2024-07-17,2580927037
2024-07-10,2321257141
2024-07-03,2656034217
2024-06-26,2713873023
2024-06-19,2612947032
2024-06-12,2937511537
2024-06-05,3329865430
2024-05-29,3402167383
2024-05-22,3445750420
2024-05-15,3175302259
2024-05-08,3509169728
2024-05-01,3325372243
2024-04-24,3400896626
2024-04-17,3190445269
2024-04-10,4246319815
2024-04-03,4291141387
2024-03-27,4770481645
2024-03-20,4268037075
2024-03-13,5239271189
2024-03-06,4687945791
2024-02-28,4351296669
2024-02-21,3978143094
2024-02-14,3955526075
2024-02-07,3503547429
2024-01-31,3588161854
2024-01-24,3530609621
2024-01-17,3941114278
2024-01-10,3681179031
2024-01-03,4184044049
2023-12-27,4410655238
2023-12-20,3038286094
2023-12-13,3426534462
2023-12-06,2896057871
2023-11-29,2694891727
2023-11-22,2423195185
2023-11-15,2659993135
2023-11-08,2475924977
2023-11-01,2316727580
2023-10-25,2043974857
2023-10-18,1939854401
2023-10-11,1959559928
2023-10-04,2075734191
2023-09-27,2037129607
2023-09-20,2195629010
2023-09-13,1867700997
2023-09-06,1992575795
2023-08-30,2171339219
2023-08-23,2161269100
2023-08-16,2370130254
2023-08-09,2498614120
2023-08-02,2615614196
2023-07-26,2620644852
2023-07-19,2710073927
2023-07-12,2693151909
2023-07-05,2844020264
2023-06-28,2755418185
2023-06-21,2568252834
2023-06-14,2527304073
2023-06-07,2972883252
2023-05-31,3171440374
2023-05-24,3077159428
2023-05-17,3185183491
2023-05-10,3038592508
2023-05-03,3230135664
2023-04-26,3236362882
2023-04-19,3671719064
2023-04-12,3298732807
2023-04-05,3291321690
2023-03-29,3288475542
2023-03-22,3501491007
2023-03-15,3826386864
2023-03-08,3431646808
2023-03-01,3585974667
2023-02-22,4045520058
2023-02-15,3928097708
2023-02-08,4373997332
2023-02-01,3909434924
2023-01-25,3636909933
2023-01-18,3562583844
2023-01-11,3312785443
2023-01-04,2976213691
2022-12-28,2692638057
2022-12-21,2622317708
2022-12-14,2853135545
2022-12-07,2971004392
2022-11-30,2987199915
2022-11-23,2795498603
2022-11-16,3093755400
2022-11-09,3585958142
2022-11-02,4127809494
2022-10-26,3514389393
2022-10-19,3670449569
2022-10-12,3553794040
2022-10-05,3812092740
2022-09-28,3965802018
2022-09-21,4083723909
2022-09-14,4080825313
2022-09-07,3468729407
2022-08-31,3501709666
2022-08-24,3552948260
2022-08-17,3340750430
2022-08-10,3353371407
2022-08-03,2940330986
2022-07-27,2692103689
2022-07-20,3090442191
2022-07-13,2283594048
2022-07-06,2643333349
2022-06-29,2137777691
2022-06-22,2025074949
2022-06-15,1864865035
2022-06-08,2718692906
2022-06-01,3015497026
2022-05-25,3244162490
2022-05-18,3367196806
2022-05-11,3967896109
2022-05-04,5188900563
2022-04-27,5924437398
2022-04-20,7216591550
2022-04-13,7235814270
2022-04-06,8619268358
2022-03-30,8793673815
2022-03-23,8157876830
2022-03-16,7816748357
2022-03-09,8071257261
2022-03-02,9003272690
2022-02-23,7181622418
2022-02-16,8397083912
2022-02-09,8798550837
2022-02-02,8380617107
2022-01-26,10331276974
2022-01-19,10995966608
2022-01-12,11159365170
2022-01-05,12275004299
2021-12-29,7658408631
2021-12-22,6682291504
2021-12-15,6150044744
2021-12-08,6870769351
2021-12-01,7853026387
2021-11-24,9114604077
2021-11-17,8078906654
2021-11-10,10095596531
2021-11-03,10376028453
2021-10-27,12021810149
2021-10-20,9799904411
2021-10-13,9331285227
2021-10-06,10392068799
2021-09-29,9432533172
2021-09-22,8362559753
2021-09-15,9585685990
2021-09-08,5875635788
2021-09-01,6404804317
2021-08-25,5526634708
2021-08-18,4495596299
2021-08-11,3908057860
2021-08-04,3367857517
2021-07-28,3221865582
2021-07-21,2615855120
2021-07-14,3319686110
2021-07-07,3658620324
2021-06-30,3226638067
2021-06-23,2113924562
2021-06-16,3121312543
2021-06-09,3251382504
2021-06-02,3289893136
2021-05-26,3313440806
2021-05-19,5428517028
2021-05-12,6425312579
2021-05-05,5063444289
2021-04-28,5489441810
2021-04-21,5066795702
2021-04-14,5745930395
2021-04-07,5173494054
2021-03-31,4718832934
2021-03-24,4477710606
2021-03-17,5032005513
2021-03-10,5003352611
2021-03-03,4508752066
2021-02-24,4802772358
2021-02-17,5940514784
2021-02-10,3600483068
2021-02-03,2140712403
2021-01-27,1844599224
2021-01-20,2148725476
2021-01-13,1356854916
2021-01-06,1479314486
2020-12-30,1340755081
2020-12-23,1179818829
2020-12-16,1267180627
2020-12-09,1133813935
2020-12-02,1261307319
2020-11-25,1409366264
2020-11-18,1263047632
2020-11-11,1212879675
2020-11-04,1059972657
2020-10-28,1221325186
2020-10-21,1202611876
2020-10-14,1433395948
2020-10-07,1131471967
2020-09-30,1255939497
2020-09-23,996446988
2020-09-16,1161683589
2020-09-09,1176259957
2020-09-02,1730709734
2020-08-26,2001179626
2020-08-19,1378658318
2020-08-12,1168796946
2020-08-05,949392998
2020-07-29,714699399
2020-07-22,758583997
2020-07-15,752015310
2020-07-08,601208340
2020-07-01,483876646
2020-06-24,512907645
2020-06-17,505533538
2020-06-10,583916318
2020-06-03,513910515
2020-05-27,482919043
2020-05-20,486872531
2020-05-13,464471525
2020-05-06,504083387
2020-04-29,522567762
2020-04-22,421821087
2020-04-15,438430414
2020-04-08,434087420
2020-04-01,366029973
2020-03-25,405306124
2020-03-18,338405273
2020-03-11,577983175
2020-03-04,677932500
2020-02-26,764624561
2020-02-19,844249430
2020-02-12,979685266
2020-02-05,811726614
2020-01-29,866501568
2020-01-22,878301154
2020-01-15,850291613
2020-01-08,772813152
2020-01-01,802500076
2019-12-25,839287700
2019-12-18,690526151
2019-12-11,890589026
2019-12-04,900826940
2019-11-27,863984512
2019-11-20,860362237
2019-11-13,1041962748
2019-11-06,929173231
