date,marketCap
2025-03-01,2016643238
2025-02-22,2281234371
2025-02-15,2491921107
2025-02-08,2573553668
2025-02-01,3535354421
2025-01-25,3767278122
2025-01-18,3999641817
2025-01-11,3909382492
2025-01-04,4337235933
2024-12-28,4028874897
2024-12-21,4440222848
2024-12-14,5019565507
2024-12-07,5581379400
2024-11-30,5148797418
2024-11-23,5191827626
2024-11-16,4535972139
2024-11-09,2934559452
2024-11-02,1985704595
2024-10-26,1938944416
2024-10-19,2111218925
2024-10-12,2050263201
2024-10-05,2188629611
2024-09-28,2370701748
2024-09-21,2274607936
2024-09-14,2260313558
2024-09-07,2013234321
2024-08-31,2189181322
2024-08-24,2449741726
2024-08-17,2366452031
2024-08-10,2498918893
2024-08-03,2231243447
2024-07-27,2451366907
2024-07-20,2534453363
2024-07-13,2354402617
2024-07-06,2251055933
2024-06-29,2412929665
2024-06-22,2495184194
2024-06-15,2695896820
2024-06-08,3034728353
2024-06-01,3039698566
2024-05-25,3227867145
2024-05-18,3367513086
2024-05-11,3288271742
2024-05-04,3562520866
2024-04-27,3318697737
2024-04-20,3298006217
2024-04-13,3670837816
2024-04-06,3764695754
2024-03-30,4142898594
2024-03-23,3530339614
2024-03-16,3795416642
2024-03-09,4313057870
2024-03-02,3355514187
2024-02-24,2440904679
2024-02-17,2407059161
2024-02-10,2339980492
2024-02-03,2167783138
2024-01-27,2173942167
2024-01-20,2184954222
2024-01-13,2342989930
2024-01-06,2439617092
2023-12-30,2620304219
2023-12-23,2716932915
2023-12-16,2587287240
2023-12-09,2606864299
2023-12-02,2424858045
2023-11-25,2577571772
2023-11-18,2623974781
2023-11-11,2651896448
2023-11-04,1743881947
2023-10-28,1561755864
2023-10-21,1379625235
2023-10-14,1376918478
2023-10-07,1335509417
2023-09-30,1335560568
2023-09-23,1324179883
2023-09-16,1340715001
2023-09-09,1384391691
2023-09-02,1309939516
2023-08-26,1341566185
2023-08-19,1354892134
2023-08-12,1495575914
2023-08-05,1522028117
2023-07-29,1562091764
2023-07-22,1598145161
2023-07-15,1554207736
2023-07-08,1474831638
2023-07-01,1472744578
2023-06-24,1529547831
2023-06-17,1383467330
2023-06-10,1501909080
2023-06-03,1554043977
2023-05-27,1521985687
2023-05-20,1594046686
2023-05-13,1585484507
2023-05-06,1765099183
2023-04-29,1969366451
2023-04-22,1734824918
2023-04-15,1782411549
2023-04-08,1721929057
2023-04-01,1747887970
2023-03-25,1738394094
2023-03-18,1863848939
2023-03-11,1592467126
2023-03-04,1850023908
2023-02-25,2035205504
2023-02-18,2020595139
2023-02-11,1936348910
2023-02-04,2071111049
2023-01-28,2071212889
2023-01-21,1982459030
2023-01-14,1807548199
2023-01-07,1534241574
2022-12-31,1414889834
2022-12-24,1485566174
2022-12-17,1401897783
2022-12-10,1616477009
2022-12-03,1644694280
2022-11-26,1659543556
2022-11-19,1853621954
2022-11-12,2174318645
2022-11-05,2951365813
2022-10-29,2834641322
2022-10-22,2678432402
2022-10-15,2610202992
2022-10-08,2693810741
2022-10-01,2778138538
2022-09-24,3115257788
2022-09-17,2672676734
2022-09-10,3035436520
2022-09-03,3023453434
2022-08-27,3041100404
2022-08-20,3110627746
2022-08-13,3932444381
2022-08-06,3706199008
2022-07-30,3515614401
2022-07-23,3305376451
2022-07-16,3025960770
2022-07-09,3134662240
2022-07-02,2871358126
2022-06-25,3240286160
2022-06-18,2924652288
2022-06-11,4183400158
2022-06-04,4500655190
2022-05-28,4239154672
2022-05-21,4748972527
2022-05-14,4623973953
2022-05-07,7098815632
2022-04-30,9371460641
2022-04-23,10245876677
2022-04-16,10283334072
2022-04-09,11008076857
2022-04-02,12135127820
2022-03-26,11507049523
2022-03-19,10265529513
2022-03-12,9684309068
2022-03-05,10035308811
2022-02-26,10564480848
2022-02-19,11036387636
2022-02-12,12110770708
2022-02-05,10905580334
2022-01-29,10649106316
2022-01-22,9182659445
2022-01-15,11523571386
2022-01-08,11759410364
2022-01-01,14179177137
2021-12-25,15867322602
2021-12-18,13204935183
2021-12-11,13935668230
2021-12-04,16089741924
2021-11-27,17403635969
2021-11-20,14241186436
2021-11-13,9041616206
2021-11-06,9470426117
2021-10-30,5678532084
2021-10-23,4748029661
2021-10-16,4748029661
2021-10-09,4748029661
2021-10-02,4365979203
2021-09-25,4043608494
2021-09-18,4772195772
2021-09-11,4313339455
2021-09-04,4202270437
2021-08-28,3962463381
2021-08-21,3879909280
2021-08-14,3841443256
2021-08-07,3317228965
2021-07-31,3229214997
2021-07-24,2873117652
2021-07-17,2793619113
2021-07-10,3043435590
2021-07-03,2883893198
2021-06-26,2415086815
2021-06-19,2686056551
2021-06-12,2980568482
2021-06-05,3081796214
2021-05-29,2899621490
2021-05-22,3185589278
2021-05-15,4233619558
2021-05-08,4867553734
2021-05-01,5076159522
2021-04-24,4421558244
2021-04-17,6404149325
2021-04-10,5684687413
2021-04-03,5789354663
2021-03-27,5350545892
2021-03-20,6161553669
2021-03-13,4822601781
2021-03-06,3658288087
2021-02-27,3731275801
2021-02-20,3206717918
2021-02-13,2012044409
2021-02-06,1569333808
2021-01-30,1549865571
2021-01-23,1679797905
2021-01-16,1636942239
2021-01-09,1845190341
2021-01-02,1338073422
2020-12-26,1298957566
2020-12-19,1439222398
2020-12-12,1298051996
2020-12-05,1386056723
2020-11-28,1400475894
2020-11-21,1677603924
2020-11-14,1499896692
2020-11-07,1672853055
2020-10-31,1770379287
2020-10-24,2106556498
2020-10-17,2822647105
2020-10-10,3132883568
2020-10-03,2996084773
2020-09-26,3117269300
2020-09-19,3342504102
2020-09-12,3188357229
