date,marketCap
2025-03-08,1018821708
2025-03-01,980466209
2025-02-22,1182486730
2025-02-15,1267394588
2025-02-08,1305466927
2025-02-01,1442511292
2025-01-25,1510526416
2025-01-18,1704574116
2025-01-11,1334458055
2025-01-04,1575956889
2024-12-28,1455338862
2024-12-21,1544363189
2024-12-14,1675408830
2024-12-07,1744742204
2024-11-30,1483090516
2024-11-23,1174656323
2024-11-16,960977231
2024-11-09,707914485
2024-11-02,662872737
2024-10-26,690236859
2024-10-19,730986972
2024-10-12,738723627
2024-10-05,763710597
2024-09-28,767636230
2024-09-21,723888872
2024-09-14,724613425
2024-09-07,665360102
2024-08-31,745881014
2024-08-24,776591329
2024-08-17,702063902
2024-08-10,738278922
2024-08-03,743932802
2024-07-27,856330512
2024-07-20,904936035
2024-07-13,872862039
2024-07-06,897397312
2024-06-29,1030654804
2024-06-22,1050257729
2024-06-15,1129168620
2024-06-08,1144731280
2024-06-01,1113842306
2024-05-25,1133043722
2024-05-18,1148247182
2024-05-11,1108562755
2024-05-04,1210541668
2024-04-27,1206114353
2024-04-20,1251127077
2024-04-13,1333536404
2024-04-06,1442895109
2024-03-30,1257734407
2024-03-23,1172359515
2024-03-16,1347030761
2024-03-09,1436912101
2024-03-02,1609564281
2024-02-24,1411602812
2024-02-17,1105326370
2024-02-10,988123652
2024-02-03,843868755
2024-01-27,704953522
2024-01-20,723125502
2024-01-13,552311073
2024-01-06,552543504
2023-12-30,526108923
2023-12-23,519659965
2023-12-16,502599252
2023-12-09,420724628
2023-12-02,423211219
2023-11-25,333452532
2023-11-18,313323932
2023-11-11,327060915
2023-11-04,285332650
2023-10-28,281463138
2023-10-21,231198018
2023-10-14,231518443
2023-10-07,264109237
2023-09-30,264177109
2023-09-23,274203975
2023-09-16,275870369
2023-09-09,292168534
2023-09-02,317337448
2023-08-26,310541205
2023-08-19,298820868
2023-08-12,315117654
2023-08-05,298360919
2023-07-29,318666821
2023-07-22,298595993
2023-07-15,261119122
2023-07-08,252864289
2023-07-01,276016244
2023-06-24,314973331
2023-06-17,267807012
2023-06-10,307332193
2023-06-03,386669617
2023-05-27,431257462
2023-05-20,445118228
2023-05-13,411539904
2023-05-06,423254595
2023-04-29,458307363
2023-04-22,472000995
2023-04-15,460088664
2023-04-08,431880362
2023-04-01,447352446
2023-03-25,444840210
2023-03-18,357118322
2023-03-11,351889095
2023-03-04,415029975
2023-02-25,447886199
2023-02-18,446356594
2023-02-11,458954691
2023-02-04,448399322
2023-01-28,422684638
2023-01-21,445485640
2023-01-14,515014043
