date,marketCap
2025-03-01,2637206630
2025-02-22,2895421064
2025-02-15,3004365355
2025-02-08,2610645701
2025-02-01,3014366830
2025-01-25,3174447407
2025-01-18,2571768257
2025-01-11,2325454990
2025-01-04,2221976049
2024-12-28,2019733693
2024-12-21,1648262392
2024-12-14,1623050249
2024-12-07,1627819015
2024-11-30,1440440676
2024-11-23,1275555127
2024-11-16,1210164075
2024-11-09,1149263139
2024-11-02,1099198275
2024-10-26,1100705215
2024-10-19,1163149678
2024-10-12,1148507042
2024-10-05,1100752518
2024-09-28,1167258317
2024-09-21,1084814554
2024-09-14,1058042252
2024-09-07,931723905
2024-08-31,974045986
2024-08-24,1034656068
2024-08-17,931981761
2024-08-10,930696619
2024-08-03,925911762
2024-07-27,990022359
2024-07-20,1027724181
2024-07-13,914322506
2024-07-06,874210431
2024-06-29,999362033
2024-06-22,1029261069
2024-06-15,1084223174
2024-06-08,1110221715
2024-06-01,1069843590
2024-05-25,1033595690
2024-05-18,1037710788
2024-05-11,1061235171
2024-05-04,1073726398
2024-04-27,1010306835
2024-04-20,914054598
2024-04-13,965756759
2024-04-06,1030691693
2024-03-30,1348428298
2024-03-23,919508087
2024-03-16,973095433
2024-03-09,710915014
2024-03-02,691708524
2024-02-24,630398617
2024-02-17,632648139
2024-02-10,641845769
2024-02-03,616415611
2024-01-27,637265816
2024-01-20,644709489
2024-01-13,681057494
2024-01-06,689870959
2023-12-30,707606261
2023-12-23,733556780
2023-12-16,717186917
2023-12-09,589850346
2023-12-02,584120464
2023-11-25,583780814
2023-11-18,565595986
2023-11-11,583107631
2023-11-04,525037419
2023-10-28,520198064
2023-10-21,505008442
2023-10-14,499430880
2023-10-07,511319441
2023-09-30,513702479
2023-09-23,529776884
2023-09-16,535791456
2023-09-09,532793911
2023-09-02,533247045
2023-08-26,534731086
2023-08-19,528059010
2023-08-12,562450811
2023-08-05,566322757
2023-07-29,588072769
2023-07-22,586253683
2023-07-15,602204258
2023-07-08,589431637
2023-07-01,598721830
2023-06-24,597876085
2023-06-17,556736998
2023-06-10,575570482
2023-06-03,614476185
2023-05-27,655533157
2023-05-20,681798346
2023-05-13,686755199
2023-05-06,735022578
2023-04-29,729129065
2023-04-22,731344370
2023-04-15,783871105
2023-04-08,739181906
2023-04-01,728150145
2023-03-25,723332056
2023-03-18,774144891
2023-03-11,648306129
2023-03-04,697710593
2023-02-25,740693724
2023-02-18,676510184
2023-02-11,620538114
2023-02-04,656290365
2023-01-28,603544149
2023-01-21,570183082
2023-01-14,526756748
2023-01-07,461971296
2022-12-31,437919978
2022-12-24,493139747
2022-12-17,490959401
2022-12-10,521805535
2022-12-03,527524065
2022-11-26,537555627
2022-11-19,518079022
2022-11-12,548843193
2022-11-05,699348716
2022-10-29,655597525
2022-10-22,629356377
2022-10-15,637552570
2022-10-08,633950833
2022-10-01,621863687
2022-09-24,616351726
2022-09-17,619088122
2022-09-10,627297642
2022-09-03,619305312
2022-08-27,640172195
2022-08-20,639682083
2022-08-13,735821540
2022-08-06,688347932
2022-07-30,641284631
2022-07-23,597012301
2022-07-16,580048611
2022-07-09,585434316
2022-07-02,602484387
2022-06-25,635014054
2022-06-18,590588194
2022-06-11,798679001
2022-06-04,796388732
2022-05-28,794120071
2022-05-21,858645279
2022-05-14,844747499
2022-05-07,965728977
2022-04-30,976669544
2022-04-23,983839241
2022-04-16,997848287
2022-04-09,1005782922
2022-04-02,1040410997
2022-03-26,990920107
2022-03-19,965125473
2022-03-12,959668303
2022-03-05,1019230517
2022-02-26,960702232
2022-02-19,1008921789
2022-02-12,1022455795
2022-02-05,1097846296
2022-01-29,1035211758
2022-01-22,984419093
2022-01-15,1068371983
2022-01-08,967482884
2022-01-01,1032290447
2021-12-25,990780530
2021-12-18,897699813
2021-12-11,932989313
2021-12-04,1058859686
2021-11-27,971515843
2021-11-20,1009825680
2021-11-13,1235931423
2021-11-06,1041113422
2021-10-30,1019069534
2021-10-23,865235172
2021-10-16,698306515
2021-10-09,670933949
2021-10-02,695339562
2021-09-25,674667655
2021-09-18,828032902
2021-09-11,785541504
2021-09-04,745161607
2021-08-28,741264052
2021-08-21,747494127
2021-08-14,771237495
2021-08-07,620168827
2021-07-31,553692600
2021-07-24,484344572
2021-07-17,478777796
2021-07-10,532163874
2021-07-03,549040839
2021-06-26,497019767
2021-06-19,611059663
2021-06-12,654084323
2021-06-05,794727049
2021-05-29,712343433
2021-05-22,869248392
2021-05-15,1590289866
2021-05-08,1080575678
2021-05-01,737846713
2021-04-24,516267586
2021-04-17,611008553
2021-04-10,559164440
2021-04-03,377840136
2021-03-27,315076853
2021-03-20,370286923
2021-03-13,258811337
2021-03-06,250649366
2021-02-27,238475274
2021-02-20,400824109
2021-02-13,159242177
2021-02-06,108995854
2021-01-30,97779576
2021-01-23,86795359
2021-01-16,87795618
2021-01-09,86837601
2021-01-02,91036360
2020-12-26,77940225
2020-12-19,84425780
2020-12-12,81516228
2020-12-05,83868684
2020-11-28,85777618
2020-11-21,84803030
2020-11-14,79525272
2020-11-07,80445058
2020-10-31,85251625
2020-10-24,95095002
2020-10-17,93695377
2020-10-10,97736419
2020-10-03,94864557
2020-09-26,100102644
2020-09-19,107244751
2020-09-12,103776950
2020-09-05,105028377
2020-08-29,110526632
2020-08-22,111103315
2020-08-15,101398729
2020-08-08,102865697
2020-08-01,102170005
2020-07-25,97522539
2020-07-18,97524387
2020-07-11,99536347
2020-07-04,95025310
2020-06-27,94056977
2020-06-20,94842402
2020-06-13,98624036
2020-06-06,102538197
2020-05-30,89621802
2020-05-23,87913497
2020-05-16,86414117
2020-05-09,88036820
2020-05-02,92877809
2020-04-25,86203274
2020-04-18,85269150
2020-04-11,85108159
2020-04-04,85827507
2020-03-28,75232745
2020-03-21,76600397
2020-03-14,65925668
2020-03-07,118807474
2020-02-29,106244126
2020-02-22,123954446
2020-02-15,131718778
2020-02-08,112329257
2020-02-01,87621720
2020-01-25,83515699
2020-01-18,87035702
2020-01-11,78700281
2020-01-04,71244665
2019-12-28,70565710
2019-12-21,69319972
2019-12-14,76804046
