date,marketCap
2025-03-02,10631537819
2025-02-23,9076558930
2025-02-16,9558027179
2025-02-09,8979421995
2025-02-02,10973639582
2025-01-26,12727389768
2025-01-19,13583397501
2025-01-12,11182048790
2025-01-05,11720729908
2024-12-29,11268188005
2024-12-22,9679117525
2024-12-15,11243251726
2024-12-08,12654548573
2024-12-01,6458357636
2024-11-24,5889930083
2024-11-17,3455601624
2024-11-10,1981402625
2024-11-03,1687233324
2024-10-27,1813424793
2024-10-20,2018368291
2024-10-13,1940581705
2024-10-06,2001269434
2024-09-29,2305404205
2024-09-22,2072689787
2024-09-15,1908670776
2024-09-08,1786668113
2024-09-01,1792653852
2024-08-25,2167289990
2024-08-18,1886487696
2024-08-11,2003793985
2024-08-04,2086215935
2024-07-28,2470238371
2024-07-21,2672061193
2024-07-14,2557974942
2024-07-07,2506510619
2024-06-30,2714185082
2024-06-23,2784741457
2024-06-16,3029633096
2024-06-09,3226413499
2024-06-02,3566126233
2024-05-26,3876013064
2024-05-19,4098965328
2024-05-12,3809903710
2024-05-05,3899102018
2024-04-28,3811815777
2024-04-21,3100745647
2024-04-14,2832820251
2024-04-07,3572283407
2024-03-31,3822495232
2024-03-24,3606435633
2024-03-17,3721626281
2024-03-10,4397821352
2024-03-03,3887455336
2024-02-25,3702312218
2024-02-18,2809179995
2024-02-11,2655297964
2024-02-04,2332503515
2024-01-28,2505524750
2024-01-21,2576738699
2024-01-14,2740277687
2024-01-07,2674322592
2023-12-31,2932910136
2023-12-24,3080794505
2023-12-17,2674762708
2023-12-10,2499783763
2023-12-03,2090693622
2023-11-26,2134509608
2023-11-19,2067099796
2023-11-12,2074858569
2023-11-05,1869986806
2023-10-29,1740928139
2023-10-22,1641088372
2023-10-15,1568660424
2023-10-08,1616351310
2023-10-01,1663996876
2023-09-24,1728883194
2023-09-17,1717762232
2023-09-10,1627507472
2023-09-03,1650424290
2023-08-27,1911376263
2023-08-20,2150082186
2023-08-13,1850953538
2023-08-06,1711538296
2023-07-30,1745226628
2023-07-23,1729328354
2023-07-16,1680782436
2023-07-09,1523021045
2023-07-02,1633921463
2023-06-25,1625414870
2023-06-18,1448946684
2023-06-11,1443668359
2023-06-04,1595533702
2023-05-28,1645263988
2023-05-21,1675726533
2023-05-14,1623438931
2023-05-07,1790088179
2023-04-30,1898961606
2023-04-23,1912224387
2023-04-16,2124215850
2023-04-09,1991289578
2023-04-02,2164096451
2023-03-26,1835898965
2023-03-19,1885845693
2023-03-12,1636560923
2023-03-05,1820682441
2023-02-26,1979736287
2023-02-19,2274591023
2023-02-12,2315332001
2023-02-05,1917946003
2023-01-29,1698148748
2023-01-22,1801211414
2023-01-15,1341944714
2023-01-08,1001540987
2023-01-01,916276354
2022-12-25,1101828518
2022-12-18,1079929832
2022-12-11,1209440860
2022-12-04,1196759385
2022-11-27,1230089948
