date,marketCap
2025-03-05,1083580857
2025-02-26,1209668806
2025-02-19,1294454582
2025-02-12,1361470667
2025-02-05,1440758401
2025-01-29,1875100959
2025-01-22,2127003985
2025-01-15,2069554241
2025-01-08,2276089545
2025-01-01,2280909704
2024-12-25,2500921497
2024-12-18,2880940125
2024-12-11,2945444182
2024-12-04,3574513520
2024-11-27,2798057691
2024-11-20,2324459490
2024-11-13,2259426127
2024-11-06,1801837598
2024-10-30,2312971056
2024-10-23,2462577581
2024-10-16,2733867076
2024-10-09,2310868829
2024-10-02,2497388943
2024-09-25,2861052519
2024-09-18,2228159175
2024-09-11,2092247576
2024-09-04,1843956364
2024-08-28,2116766446
2024-08-21,1831035472
2024-08-14,1980982283
2024-08-07,1749598109
2024-07-31,2186888719
2024-07-24,2359136417
2024-07-17,2294910508
2024-07-10,1916068067
2024-07-03,2389758984
2024-06-26,2348819293
2024-06-19,2218226291
2024-06-12,2711333468
2024-06-05,3418316905
2024-05-29,3406443482
2024-05-22,3691426205
2024-05-15,2935125691
2024-05-08,3162187199
2024-05-01,2817854838
2024-04-24,3426970952
2024-04-17,2702192877
2024-04-10,3762486879
2024-04-03,3786409299
2024-03-27,4270972452
2024-03-20,3583781774
2024-03-13,4999423177
2024-03-06,4051714375
2024-02-28,4639430320
2024-02-21,4797219316
2024-02-14,4010457255
2024-02-07,2985772424
2024-01-31,2710051366
2024-01-24,2464114048
2024-01-17,2754778395
2024-01-10,2510779684
2024-01-03,3015085232
2023-12-27,3057544730
2023-12-20,2661684436
2023-12-13,2561565452
2023-12-06,1826907337
2023-11-29,1677935044
2023-11-22,1583561743
2023-11-15,1393004308
2023-11-08,1056973622
2023-11-01,794358721
2023-10-25,763412397
2023-10-18,643800970
2023-10-11,653623390
2023-10-04,664230744
2023-09-27,683984632
2023-09-20,635868820
2023-09-13,567241807
2023-09-06,617776675
2023-08-30,667018433
2023-08-23,647701556
2023-08-16,739144985
2023-08-09,792888883
2023-08-02,861092258
2023-07-26,766070385
2023-07-19,788585377
2023-07-12,724135496
2023-07-05,786554569
2023-06-28,781131816
2023-06-21,687237461
2023-06-14,619458704
2023-06-07,748744698
2023-05-31,777630309
2023-05-24,770116967
2023-05-17,709692008
2023-05-10,731534898
2023-05-03,891884296
2023-04-26,932594089
2023-04-19,1049416468
2023-04-12,992639610
2023-04-05,973971295
2023-03-29,974459957
2023-03-22,1109652948
2023-03-15,1029834252
2023-03-08,919637938
2023-03-01,902275291
2023-02-22,806190397
2023-02-15,905115824
2023-02-08,834536764
2023-02-01,589908198
2023-01-25,505347940
2023-01-18,472873853
2023-01-11,379150791
2023-01-04,302608079
2022-12-28,303467436
2022-12-21,335675669
2022-12-14,322598612
2022-12-07,352696294
2022-11-30,303069614
2022-11-23,295678688
2022-11-16,281765401
2022-11-09,358669824
2022-11-02,333071519
2022-10-26,322325324
2022-10-19,351895894
2022-10-12,390157268
2022-10-05,188335365
2022-09-28,175341095
2022-09-21,178515493
2022-09-14,189160972
2022-09-07,183855496
2022-08-31,196742495
2022-08-24,205097389
2022-08-17,240044850
2022-08-10,261663835
2022-08-03,247129541
2022-07-27,191699146
2022-07-20,245326665
2022-07-13,197753183
2022-07-06,233169769
2022-06-29,200230669
2022-06-22,186108730
2022-06-15,169029684
2022-06-08,230797157
2022-06-01,262711189
2022-05-25,224729933
2022-05-18,217311097
2022-05-11,277951438
2022-05-04,370486429
2022-04-27,391967042
2022-04-20,464849067
2022-04-13,433246132
2022-04-06,553301252
2022-03-30,634248083
2022-03-23,544660597
2022-03-16,358180127
2022-03-09,352974364
2022-03-02,371519661
2022-02-23,388442784
2022-02-16,583457373
2022-02-09,627299617
2022-02-02,647832504
2022-01-26,445263206
2022-01-19,708530438
2022-01-12,681090806
2022-01-05,899443008
2021-12-29,913489174
2021-12-22,853683867
2021-12-15,912924981
2021-12-08,980295017
2021-12-01,1546402877
2021-11-24,1527950962
2021-11-17,1008201567
