date,marketCap
2025-03-08,1120338441
2025-03-01,1301170260
2025-02-22,1493420684
2025-02-15,1498503996
2025-02-08,1312190050
2025-02-01,1978284211
2025-01-25,2027574166
2025-01-18,2427837510
2025-01-11,2110147231
2025-01-04,2241387104
2024-12-28,2021105301
2024-12-21,2158607783
2024-12-14,2846595726
2024-12-07,3334090129
2024-11-30,2964877868
2024-11-23,2577621912
2024-11-16,2404567282
2024-11-09,2189956960
2024-11-02,1829368635
2024-10-26,1759650487
2024-10-19,2157835180
2024-10-12,1993270234
2024-10-05,1991028246
2024-09-28,2309696628
2024-09-21,2050703535
2024-09-14,1944496541
2024-09-07,1584347380
2024-08-31,1701152223
2024-08-24,2165048393
2024-08-17,1741465207
2024-08-10,1769310801
2024-08-03,1915436248
2024-07-27,2514220084
2024-07-20,2571613890
2024-07-13,1918933683
2024-07-06,1837753695
2024-06-29,2233096652
2024-06-22,2068605319
2024-06-15,2541933870
2024-06-08,2664731267
2024-06-01,2310256655
2024-05-25,2419272187
2024-05-18,2329838755
2024-05-11,2289900922
2024-05-04,2262610372
2024-04-27,2296698115
2024-04-20,2539496882
2024-04-13,2399064162
2024-04-06,3091609562
2024-03-30,3241938703
2024-03-23,3100493316
2024-03-16,3927622472
2024-03-09,3671691600
2024-03-02,4003588149
2024-02-24,2921740912
2024-02-17,3064798904
2024-02-10,3085881910
2024-02-03,3062880124
2024-01-27,2984514647
2024-01-20,3054594190
2024-01-13,3107363796
2024-01-06,3279110728
2023-12-30,3003052742
2023-12-23,3245890771
2023-12-16,2538012462
2023-12-09,1621733927
2023-12-02,1504471595
2023-11-25,1314406145
2023-11-18,1360433976
2023-11-11,1490166316
2023-11-04,1234165878
2023-10-28,1136123639
2023-10-21,707491450
2023-10-14,632121373
2023-10-07,656206763
2023-09-30,632181864
2023-09-23,602593122
2023-09-16,607032470
2023-09-09,562481928
2023-09-02,569833233
2023-08-26,607835281
2023-08-19,661590030
2023-08-12,639244004
2023-08-05,669828368
2023-07-29,674290026
2023-07-22,718845946
2023-07-15,745555893
2023-07-08,636162204
2023-07-01,642517060
2023-06-24,569180575
2023-06-17,484060043
2023-06-10,550661198
2023-06-03,630380105
2023-05-27,512324905
2023-05-20,561844108
2023-05-13,490806054
2023-05-06,625573087
2023-04-29,674431953
2023-04-22,581589584
2023-04-15,639087617
2023-04-08,446630290
2023-04-01,378667135
2023-03-25,335134391
2023-03-18,384580456
2023-03-11,236800106
2023-03-04,280936684
2023-02-25,283807687
2023-02-18,311738801
2023-02-11,245996753
2023-02-04,291867093
2023-01-28,199484515
2023-01-21,128404935
2023-01-14,121222093
2023-01-07,106563078
2022-12-31,99226148
2022-12-24,102403530
2022-12-17,109438537
2022-12-10,127829139
2022-12-03,130688864
2022-11-26,125501018
2022-11-19,135676527
2022-11-12,136474281
2022-11-05,213202412
2022-10-29,160110213
2022-10-22,144516197
2022-10-15,138176206
2022-10-08,150468291
2022-10-01,132803777
2022-09-24,124389744
2022-09-17,121914612
2022-09-10,123440373
2022-09-03,109004063
2022-08-27,113007221
2022-08-20,109535642
2022-08-13,127446882
2022-08-06,102978341
2022-07-30,94578510
2022-07-23,85651199
2022-07-16,83029254
2022-07-09,83679948
2022-07-02,78261986
2022-06-25,94503564
2022-06-18,77235489
2022-06-11,111809718
2022-06-04,115118283
2022-05-28,108985065
2022-05-21,124933450
2022-05-14,116390350
2022-05-07,219632306
2022-04-30,224369717
2022-04-23,277064333
2022-04-16,259208405
2022-04-09,298643264
2022-04-02,302662002
2022-03-26,279183100
2022-03-19,260679322
2022-03-12,240617026
2022-03-05,267598951
2022-02-26,272490683
2022-02-19,257480150
2022-02-12,360079524
2022-02-05,216489295
2022-01-29,219215676
2022-01-22,227752635
2022-01-15,304759513
2022-01-08,304387645
2022-01-01,361794093
2021-12-25,384779631
2021-12-18,351095265
2021-12-11,413324602
2021-12-04,520088767
2021-11-27,553830191
2021-11-20,494494176
2021-11-13,557003145
2021-11-06,505062067
2021-10-30,494457584
2021-10-23,415326221
2021-10-16,376403280
2021-10-09,379715505
2021-10-02,348431591
2021-09-25,303519140
2021-09-18,349924846
2021-09-11,357133949
2021-09-04,427756785
2021-08-28,380473151
2021-08-21,349492883
2021-08-14,311615557
2021-08-07,258072076
2021-07-31,217912037
2021-07-24,168827100
2021-07-17,190486843
2021-07-10,202709085
2021-07-03,192939471
2021-06-26,160863310
2021-06-19,220910391
2021-06-12,222393610
2021-06-05,273145121
2021-05-29,256205833
2021-05-22,272196991
2021-05-15,431234580
2021-05-08,425877430
2021-05-01,523209398
2021-04-24,232953218
2021-04-17,185461530
2021-04-10,205697916
2021-04-03,178633107
2021-03-27,156179852
2021-03-20,174045305
2021-03-13,157982642
2021-03-06,158324995
2021-02-27,167139695
2021-02-20,230833722
2021-02-13,207014277
2021-02-06,168558632
2021-01-30,108340358
2021-01-23,118791255
2021-01-16,87235275
2021-01-09,63044536
2021-01-02,54512438
2020-12-26,55007234
2020-12-19,44514406
2020-12-12,25225342
2020-12-05,21490402
2020-11-28,14773264
2020-11-21,19092608
2020-11-14,14268294
2020-11-07,9970055
2020-10-31,9824648
2020-10-24,16104042
