date,marketCap
2025-03-04,1816454579
2025-02-25,1802208953
2025-02-18,2148935416
2025-02-11,2192181137
2025-02-04,3167569766
2025-01-28,1901719914
2025-01-21,1591086889
2025-01-14,1303757615
2025-01-07,1290740346
2024-12-31,1092937352
2024-12-24,1172455525
2024-12-17,1439467750
2024-12-10,1479585139
2024-12-03,1611443365
2024-11-26,1440506872
2024-11-19,1583123369
2024-11-12,1682072463
2024-11-05,1149873475
2024-10-29,1406902501
2024-10-22,1303518568
2024-10-15,1197332953
2024-10-08,1037480208
2024-10-01,1174631541
2024-09-24,1104748672
2024-09-17,987249474
2024-09-10,993065827
2024-09-03,1000391254
2024-08-27,1190005367
2024-08-20,1050908487
2024-08-13,1105486663
2024-08-06,995166811
2024-07-30,1473630267
2024-07-23,1361750795
2024-07-16,1229727955
2024-07-09,981367731
2024-07-02,1141971275
2024-06-25,1040087402
2024-06-18,1157173663
2024-06-11,1308189197
2024-06-04,1471564595
2024-05-28,1583050261
2024-05-21,1698330163
2024-05-14,1437843359
2024-05-07,1514633135
2024-04-30,1349971253
2024-04-23,1612734729
2024-04-16,1357231430
2024-04-09,1945999128
2024-04-02,2260401134
2024-03-26,1815054325
2024-03-19,1862537000
2024-03-12,1033155215
2024-03-05,800213549
2024-02-27,678054944
2024-02-20,711229345
2024-02-13,682153916
2024-02-06,728308207
