date,marketCap
2025-03-08,1386452207
2025-03-01,1402456541
2025-02-22,1472576052
2025-02-15,1497204919
2025-02-08,1505547368
2025-02-01,1708090482
2025-01-25,1606522900
2025-01-18,1381399275
2025-01-11,1315061734
2025-01-04,1317814550
2024-12-28,1298560410
2024-12-21,1341322279
2024-12-14,1623687875
2024-12-07,1638993459
2024-11-30,1425452865
2024-11-23,1338424731
2024-11-16,1301222447
2024-11-09,1266082013
2024-11-02,1076480211
2024-10-26,1043563200
2024-10-19,1076672829
2024-10-12,980945279
2024-10-05,938714823
2024-09-28,964638905
2024-09-21,879662870
2024-09-14,974358305
2024-09-07,920857341
2024-08-31,987199994
2024-08-24,1011257554
2024-08-17,948046015
2024-08-10,755042919
2024-08-03,866608725
2024-07-27,924996861
2024-07-20,943625475
2024-07-13,869974740
2024-07-06,850369171
2024-06-29,945407744
2024-06-22,948774893
2024-06-15,986172842
2024-06-08,987744031
2024-06-01,955675785
2024-05-25,985968932
2024-05-18,944595880
2024-05-11,979636183
2024-05-04,973897519
2024-04-27,959182429
2024-04-20,856159880
2024-04-13,963409473
2024-04-06,1006567543
2024-03-30,1057048094
2024-03-23,1346135222
2024-03-16,1437207093
2024-03-09,1455473378
2024-03-02,1195930805
2024-02-24,1008670398
2024-02-17,999889790
2024-02-10,981017796
2024-02-03,956654765
2024-01-27,962081444
2024-01-20,949130851
2024-01-13,965832618
2024-01-06,965826732
2023-12-30,1001720157
2023-12-23,1054972319
2023-12-16,1045214787
2023-12-09,915236142
2023-12-02,766217052
2023-11-25,758807178
2023-11-18,609728215
2023-11-11,597001818
2023-11-04,450732370
2023-10-28,446450305
2023-10-21,434306524
2023-10-14,427392429
2023-10-07,435892373
2023-09-30,440329133
2023-09-23,436949247
2023-09-16,410786732
2023-09-09,391421627
2023-09-02,371419079
2023-08-26,440664751
2023-08-19,471041538
2023-08-12,539351610
2023-08-05,530782753
2023-07-29,571120612
2023-07-22,579458556
2023-07-15,592913798
2023-07-08,610954184
2023-07-01,638154873
2023-06-24,656693395
2023-06-17,713158890
2023-06-10,647136098
2023-06-03,716665132
2023-05-27,716642292
2023-05-20,720480362
2023-05-13,744350230
2023-05-06,745371474
2023-04-29,792654320
2023-04-22,792316144
2023-04-15,863473417
2023-04-08,817789219
2023-04-01,806533685
2023-03-25,861367101
2023-03-18,923545218
2023-03-11,797714033
2023-03-04,822676246
2023-02-25,835419056
2023-02-18,855026714
2023-02-11,787656454
2023-02-04,853527198
2023-01-28,765883490
2023-01-21,787186861
2023-01-14,737421809
2023-01-07,652957528
2022-12-31,640882238
2022-12-24,622303468
2022-12-17,628724451
2022-12-10,641611350
2022-12-03,642447752
2022-11-26,674930797
2022-11-19,704346799
2022-11-12,753720023
2022-11-05,1014811752
2022-10-29,943013747
2022-10-22,931008343
2022-10-15,951057096
2022-10-08,884555154
2022-10-01,896324666
2022-09-24,880400997
2022-09-17,892212476
2022-09-10,939445219
2022-09-03,895422721
2022-08-27,901535037
2022-08-20,921121284
2022-08-13,1045842318
2022-08-06,1017252718
2022-07-30,1008609902
2022-07-23,992901132
2022-07-16,898131034
2022-07-09,906132704
2022-07-02,877966418
2022-06-25,1073346073
2022-06-18,1093041416
2022-06-11,1521261965
2022-06-04,1669107676
2022-05-28,1481787003
2022-05-21,1509086497
2022-05-14,1237135055
2022-05-07,1665419813
2022-04-30,1849557267
2022-04-23,1993003464
2022-04-16,1968664841
2022-04-09,1471159035
2022-04-02,1585225945
2022-03-26,1417588208
2022-03-19,1392137991
2022-03-12,1387497648
2022-03-05,1387236291
2022-02-26,1484965421
2022-02-19,1496820476
2022-02-12,1455838232
2022-02-05,1482088091
2022-01-29,1286300927
2022-01-22,1285766775
2022-01-15,1539538175
2022-01-08,1473516207
2022-01-01,1650375770
2021-12-25,1755398714
2021-12-18,1649717709
2021-12-11,1526406718
2021-12-04,1880790921
2021-11-27,1776223589
2021-11-20,1812665120
2021-11-13,1734800369
2021-11-06,1471167081
2021-10-30,1445782329
2021-10-23,1142419055
2021-10-16,962432746
2021-10-09,903276027
2021-10-02,847737607
2021-09-25,843496904
2021-09-18,898369501
2021-09-11,865372451
2021-09-04,1103754083
2021-08-28,1041244044
2021-08-21,959197653
2021-08-14,925835269
2021-08-07,815089939
2021-07-31,788397996
2021-07-24,757362706
2021-07-17,759194975
2021-07-10,1003389076
2021-07-03,561380762
2021-06-26,519031712
2021-06-19,645394307
2021-06-12,622441249
2021-06-05,679586511
2021-05-29,532793432
2021-05-22,561067482
2021-05-15,954620594
2021-05-08,1020670087
2021-05-01,1146280220
2021-04-24,898673518
