date,marketCap
2025-02-28,21865372061
2025-02-21,25556364256
2025-02-14,25718570152
2025-02-07,26289358357
2025-01-31,29565436380
2025-01-24,30949512687
2025-01-17,33078203315
2025-01-10,32082040591
2025-01-03,32302715019
2024-12-27,33783202869
2024-12-20,35498267594
2024-12-13,37658590329
2024-12-06,37797738138
2024-11-29,35888156364
2024-11-22,30048129028
2024-11-15,31260021612
2024-11-08,26531899526
2024-11-01,25924451504
2024-10-25,24567633897
2024-10-18,25517634471
2024-10-11,23037222086
2024-10-04,23182862528
2024-09-27,25238397487
2024-09-20,23063991718
2024-09-13,22923743362
2024-09-06,23985027828
2024-08-30,24806015451
2024-08-23,25807514135
2024-08-16,26083187459
2024-08-09,22975326161
2024-08-02,31789987890
2024-07-26,32751471747
2024-07-19,33063645030
2024-07-12,30133086138
2024-07-05,32173349160
2024-06-28,32497385392
2024-06-21,33934713405
2024-06-14,33849846089
2024-06-07,36756166429
2024-05-31,35747476588
2024-05-24,34836398699
2024-05-17,28420233394
2024-05-10,27799712170
2024-05-03,27815512366
2024-04-26,29274861718
2024-04-19,27958502366
2024-04-12,33423902681
2024-04-05,31629773553
2024-03-29,33789149314
2024-03-22,34401286483
2024-03-15,39398965991
2024-03-08,37476769782
2024-03-01,33150804082
2024-02-23,29193652874
2024-02-16,27037120106
2024-02-09,23086349213
2024-02-02,21485566118
2024-01-26,20901462158
2024-01-19,23495551402
2024-01-12,23961370999
2024-01-05,20418252940
2023-12-29,21750175262
2023-12-22,20049076636
2023-12-15,20843906114
2023-12-08,20689666370
2023-12-01,18753656047
2023-11-24,18870884181
2023-11-17,18388986032
2023-11-10,16933783399
2023-11-03,16237429470
2023-10-27,15677755270
2023-10-20,13789060383
2023-10-13,13816961501
2023-10-06,14526799467
2023-09-29,13968294518
2023-09-22,14119873964
2023-09-15,13868496670
2023-09-08,13958854940
2023-09-01,14515419335
2023-08-25,13998775718
2023-08-18,14732257514
2023-08-11,14883030153
2023-08-04,14622113009
2023-07-28,14680735652
2023-07-21,14653634680
2023-07-14,14372019052
2023-07-07,14450532938
2023-06-30,13622433718
2023-06-23,13879165500
2023-06-16,11875857482
2023-06-09,13079631109
2023-06-02,13021076321
2023-05-26,12017377440
2023-05-19,11489676762
2023-05-12,11881654125
2023-05-05,11938348678
2023-04-28,11470403529
2023-04-21,11725315390
2023-04-14,11364794960
2023-04-07,11283644132
2023-03-31,10540846770
2023-03-24,10187570783
2023-03-17,9598538695
2023-03-10,8799646983
2023-03-03,9431613078
2023-02-24,8537971362
2023-02-17,8557515579
2023-02-10,8358434661
2023-02-03,8220482062
2023-01-27,8034690486
2023-01-20,7404334117
2023-01-13,6696082124
2023-01-06,6013456004
2022-12-30,5682951507
2022-12-23,5780044454
2022-12-16,6212757858
2022-12-09,5846030866
2022-12-02,6116877419
2022-11-25,5534286662
2022-11-18,5697457573
2022-11-11,5102706662
2022-11-04,7101121717
2022-10-28,7097175876
2022-10-21,5698904040
2022-10-14,5697820052
2022-10-07,5931731566
2022-09-30,5857604801
2022-09-23,5387122058
2022-09-16,6827475225
2022-09-09,6751875331
2022-09-02,6466310230
2022-08-26,6923962464
2022-08-19,7637427766
2022-08-12,7633104712
2022-08-05,6737417147
2022-07-29,6824946533
2022-07-22,6355618438
2022-07-15,4542205959
2022-07-08,4902711790
2022-07-01,4467892660
2022-06-24,4218075088
2022-06-17,4865407329
2022-06-10,7383213638
2022-06-03,7560248654
2022-05-27,7988197888
2022-05-20,7911982952
2022-05-13,8680953301
2022-05-06,11765309194
2022-04-29,10597134106
2022-04-22,10642001736
2022-04-15,10307311220
2022-04-08,9952713661
2022-04-01,9783860610
2022-03-25,8387734275
2022-03-18,7101529746
2022-03-11,6019790466
2022-03-04,6011679255
2022-02-25,5110445569
2022-02-18,5900148556
2022-02-11,5974875309
2022-02-04,4831914913
2022-01-28,4389936228
2022-01-21,5264302643
2022-01-14,5678455227
2022-01-07,5901619443
2021-12-31,5860874473
2021-12-24,6367973061
2021-12-17,6270780455
2021-12-10,6820706316
2021-12-03,6896581704
2021-11-26,6356678942
2021-11-19,6283930836
2021-11-12,6728114011
2021-11-05,6594092615
2021-10-29,5592327878
2021-10-22,5415682983
2021-10-15,4974157812
2021-10-08,4893690070
2021-10-01,3727902726
2021-09-24,3960386496
2021-09-17,4564047643
2021-09-10,4367036812
2021-09-03,4355385527
2021-08-27,3234649758
2021-08-20,2594355385
2021-08-13,2391352403
2021-08-06,1985519416
2021-07-30,1548767016
2021-07-23,1299848474
2021-07-16,1275247541
2021-07-09,1415237830
2021-07-02,1256728376
2021-06-25,1052557628
2021-06-18,1225158887
2021-06-11,1229435515
2021-06-04,1233045995
2021-05-28,1204718909
2021-05-21,904861059
2021-05-14,1328837396
2021-05-07,956207198
2021-04-30,709163452
2021-04-23,576639981
2021-04-16,526918485
2021-04-09,394280450
2021-04-02,371312518
2021-03-26,282328022
2021-03-19,321599551
2021-03-12,329898559
2021-03-05,276033518
2021-02-26,292656427
2021-02-19,300622581
2021-02-12,242295834
2021-02-05,203744611
2021-01-29,121610639
2021-01-22,101801924
2021-01-15,53336069
2021-01-08,21396654
2021-01-01,11905414
2020-12-25,4424223
