date,marketCap
2025-03-08,6414871957
2025-03-01,7349213863
2025-02-22,7376407269
2025-02-15,6809193065
2025-02-08,5828076768
2025-02-01,5131703017
2025-01-25,3366306205
2025-01-18,3671231978
2025-01-11,3829047372
2025-01-04,3770079797
2024-12-28,3493047331
2024-12-21,3617220776
2024-12-14,3676721772
2024-12-07,3732390667
2024-11-30,3137008430
2024-11-23,3497229665
2024-11-16,2168667929
2024-11-09,1230545446
2024-11-02,1399573873
2024-10-26,1178402614
2024-10-19,1299311773
2024-10-12,1214298537
2024-10-05,1156424622
2024-09-28,1034731410
2024-09-21,968395929
2024-09-14,952138261
2024-09-07,754883665
2024-08-31,782623648
2024-08-24,840203973
2024-08-17,772318711
2024-08-10,831688593
2024-08-03,956730135
2024-07-27,996963230
2024-07-20,1066021037
2024-07-13,888572455
2024-07-06,650600784
2024-06-29,582074643
2024-06-22,577800392
2024-06-15,632770757
2024-06-08,751299788
2024-06-01,602515779
2024-05-25,536141493
2024-05-18,600970087
2024-05-11,564554765
2024-05-04,616863825
2024-04-27,562688273
2024-04-20,582156843
2024-04-13,730366829
2024-04-06,575150749
2024-03-30,572342068
2024-03-23,476098168
2024-03-16,350065392
2024-03-09,241489864
2024-03-02,217250704
2024-02-24,173117187
2024-02-17,194696854
2024-02-10,252350777
2024-02-03,95110870
2024-01-27,83230021
2024-01-20,54329405
2024-01-13,52131851
2024-01-06,44636713
2023-12-30,36096965
2023-12-23,24443450
2023-12-16,16691047
2023-12-09,17974121
2023-12-02,16388066
2023-11-25,16099011
2023-11-18,16316708
2023-11-11,16221645
2023-11-04,14502174
2023-10-28,14303519
2023-10-21,12899224
2023-10-14,12589034
2023-10-07,13259012
2023-09-30,13732154
2023-09-23,13727984
2023-09-16,12664604
2023-09-09,14169966
2023-09-02,13239515
2023-08-26,13208948
2023-08-19,13679621
2023-08-12,15151512
2023-08-05,15191973
2023-07-29,16274569
2023-07-22,16895239
2023-07-15,17451972
2023-07-08,16667690
2023-07-01,15885731
2023-06-24,16755824
2023-06-17,14984879
2023-06-10,16909042
2023-06-03,20917106
2023-05-27,18385655
2023-05-20,18859337
2023-05-13,18357442
2023-05-06,21223866
2023-04-29,22058954
2023-04-22,22160818
2023-04-15,24168886
2023-04-08,21818558
2023-04-01,20964565
2023-03-25,20300251
2023-03-18,22557181
2023-03-11,19921982
2023-03-04,23721722
2023-02-25,25581854
2023-02-18,25442877
2023-02-11,23060703
2023-02-04,24717508
2023-01-28,21913846
2023-01-21,20178782
2023-01-14,18847527
2023-01-07,16489478
2022-12-31,16072067
2022-12-24,16721474
2022-12-17,16273783
2022-12-10,19720369
2022-12-03,19566892
2022-11-26,18099946
2022-11-19,16860314
2022-11-12,16991215
2022-11-05,24245592
2022-10-29,22714396
2022-10-22,21258325
2022-10-15,20808219
2022-10-08,22517338
2022-10-01,22832917
2022-09-24,22525891
2022-09-17,22327146
2022-09-10,25360139
2022-09-03,24639828
2022-08-27,24506707
2022-08-20,23583649
2022-08-13,28751841
2022-08-06,27563611
2022-07-30,27772240
2022-07-23,23727750
2022-07-16,22070986
2022-07-09,21877776
2022-07-02,17746912
2022-06-25,18898799
2022-06-18,18128494
2022-06-11,24124545
2022-06-04,22827322
2022-05-28,22948935
2022-05-21,25492205
2022-05-14,20191008
2022-05-07,40807943
2022-04-30,47863858
2022-04-23,43700924
2022-04-16,40862457
2022-04-09,41302952
2022-04-02,40829086
2022-03-26,35934454
2022-03-19,33550968
2022-03-12,32490638
2022-03-05,34218362
2022-02-26,35858899
2022-02-19,38226476
2022-02-12,42110075
2022-02-05,43772568
2022-01-29,39421985
2022-01-22,40898505
2022-01-15,52937751
2022-01-08,54752977
2022-01-01,61482917
2021-12-25,65857097
2021-12-18,64754548
2021-12-11,64874424
2021-12-04,103090030
2021-11-27,85590374
2021-11-20,82822019
2021-11-13,86784201
2021-11-06,87315943
2021-10-30,84237862
2021-10-23,88286076
2021-10-16,99342939
2021-10-09,87404635
2021-10-02,87656142
2021-09-25,79016295
2021-09-18,80477427
2021-09-11,77569787
2021-09-04,101825602
2021-08-28,82884227
2021-08-21,75722170
2021-08-14,72762143
2021-08-07,63744072
2021-07-31,45228899
2021-07-24,37928263
2021-07-17,35647722
2021-07-10,34323342
2021-07-03,31848868
2021-06-26,31923873
2021-06-19,43897497
2021-06-12,47418999
2021-06-05,52282297
2021-05-29,50147165
2021-05-22,49560611
2021-05-15,114271675
2021-05-08,106502918
2021-05-01,114604802
2021-04-24,77828759
2021-04-17,123401010
2021-04-10,137833143
2021-04-03,139768113
2021-03-27,123254996
2021-03-20,155049979
2021-03-13,103749001
2021-03-06,72054105
2021-02-27,63927137
2021-02-20,70711821
2021-02-13,57585762
2021-02-06,45401706
2021-01-30,38168321
2021-01-23,24097013
2021-01-16,15110232
2021-01-09,16246141
2021-01-02,11110552
2020-12-26,13027876
2020-12-19,13815565
2020-12-12,13372860
2020-12-05,17965519
2020-11-28,12923219
2020-11-21,12905210
2020-11-14,13895475
2020-11-07,7996129
2020-10-31,8301903
2020-10-24,10955090
2020-10-17,14499293
2020-10-10,14050473
2020-10-03,16635391
2020-09-26,19624605
2020-09-19,23591374
2020-09-12,33016541
2020-09-05,41054545
2020-08-29,55675865
2020-08-22,35494047
