date,marketCap
2025-03-04,3537567934
2025-02-25,3622198491
2025-02-18,3855766485
2025-02-11,3775664389
2025-02-04,4434369635
2025-01-28,5442318826
2025-01-21,5984002462
2025-01-14,5581533741
2025-01-07,6998402703
2024-12-31,5868109463
2024-12-24,6608625081
2024-12-17,8080112388
2024-12-10,7953419678
2024-12-03,9030410509
2024-11-26,7850359182
2024-11-19,7342636902
2024-11-12,6778988792
2024-11-05,4396818321
2024-10-29,5242408491
2024-10-22,5813295852
2024-10-15,6104474580
2024-10-08,5593932364
2024-10-01,5845113483
2024-09-24,5706779489
2024-09-17,4295163308
2024-09-10,4457409012
2024-09-03,4416987565
2024-08-27,5294066232
2024-08-20,4434513515
2024-08-13,4535054331
2024-08-06,3909015238
2024-07-30,5844180193
2024-07-23,6657674021
2024-07-16,6511137462
2024-07-09,4900495523
2024-07-02,5750629266
2024-06-25,5858385105
2024-06-18,5606865726
2024-06-11,6926962486
2024-06-04,7693986408
2024-05-28,8424686879
2024-05-21,8909869548
2024-05-14,7792087093
2024-05-07,7827256062
2024-04-30,7338690970
2024-04-23,7486378936
2024-04-16,5558608466
2024-04-09,7794965705
2024-04-02,7052479322
2024-03-26,7726676582
2024-03-19,7288233766
2024-03-12,6934285012
2024-03-05,4522113087
2024-02-27,4254965033
2024-02-20,3674832668
2024-02-13,3508340759
2024-02-06,2835121785
2024-01-30,3101713686
2024-01-23,2712573996
2024-01-16,3354737201
2024-01-09,3455817993
2024-01-02,3857551670
2023-12-26,4294362347
2023-12-19,2292650828
2023-12-12,2243807835
2023-12-05,2148978519
2023-11-28,1788481965
2023-11-21,1993933315
2023-11-14,1589751831
2023-11-07,1568045959
2023-10-31,1310092903
2023-10-24,1079551665
2023-10-17,1020801875
2023-10-10,1017524483
2023-10-03,1089090667
2023-09-26,1036304492
2023-09-19,1035539531
2023-09-12,1035619600
2023-09-05,1061402452
2023-08-29,1124512864
2023-08-22,1066597935
2023-08-15,1257993721
2023-08-08,1258045519
2023-08-01,1291122446
2023-07-25,1299540032
2023-07-18,1402027231
2023-07-11,1236038991
2023-07-04,1347971686
2023-06-27,1369623373
2023-06-20,1141019828
2023-06-13,1097327816
2023-06-06,1372944994
2023-05-30,1484076322
2023-05-23,1463711304
2023-05-16,1503522977
2023-05-09,1476674328
2023-05-02,1644573788
2023-04-25,1682671978
2023-04-18,2034093205
2023-04-11,1788890748
2023-04-04,1694009152
2023-03-28,1600378059
2023-03-21,1741442273
2023-03-14,1769187193
2023-03-07,1778451557
2023-02-28,2025284147
2023-02-21,2316564722
2023-02-14,1874637243
2023-02-07,1971544261
2023-01-31,1953168419
2023-01-24,2167942495
2023-01-17,1866823908
2023-01-10,1388033829
2023-01-03,1107147748
2022-12-27,1152444631
2022-12-20,1064310475
2022-12-13,1362979366
2022-12-06,1435103331
2022-11-29,1322539570
2022-11-22,1295171972
2022-11-15,1628695312
2022-11-08,2495028180
2022-11-01,2541971965
2022-10-25,2372616195
2022-10-18,2488612871
2022-10-11,2619351560
2022-10-04,2840992444
2022-09-27,2884234093
2022-09-20,3199823486
2022-09-13,3940035204
2022-09-06,3282671283
2022-08-30,3123452319
2022-08-23,3149183555
2022-08-16,4129457710
2022-08-09,4158732549
2022-08-02,3198419497
2022-07-26,2852345170
2022-07-19,2989606032
2022-07-12,2366421426
2022-07-05,2555589222
2022-06-28,2698556389
2022-06-21,2460270252
2022-06-14,2449305492
2022-06-07,3886205126
2022-05-31,4039968376
2022-05-24,4059811946
2022-05-17,4502898377
2022-05-10,6575589880
2022-05-03,7938111029
2022-04-26,9685490385
2022-04-19,10947387197
2022-04-12,10566976946
2022-04-05,11376411364
2022-03-29,8429831182
2022-03-22,7140901857
2022-03-15,6553165274
2022-03-08,6267361243
2022-03-01,6156851753
2022-02-22,5466840502
2022-02-15,6689754499
2022-02-08,8560928343
2022-02-01,6963599919
2022-01-25,6677226630
2022-01-18,10916195162
2022-01-11,9303025591
2022-01-04,9754615201
2021-12-28,8794721969
2021-12-21,5115427930
2021-12-14,5238217101
2021-12-07,4155156380
2021-11-30,4779774941
2021-11-23,5222674423
2021-11-16,6077651683
2021-11-09,5752807081
2021-11-02,5351857915
2021-10-26,6529782450
2021-10-19,4085119471
2021-10-12,3511480617
2021-10-05,3633124789
2021-09-28,3242273577
2021-09-21,3548918294
2021-09-14,3732114013
2021-09-07,2744365076
2021-08-31,2374422824
2021-08-24,2417642290
2021-08-17,1487559453
2021-08-10,1139206230
2021-08-03,996549639
2021-07-27,893828426
2021-07-20,729727796
2021-07-13,866265019
2021-07-06,900686267
2021-06-29,808674494
2021-06-22,936725881
2021-06-15,1299510967
2021-06-08,1162007632
2021-06-01,1300572620
2021-05-25,1252456177
2021-05-18,2155411731
2021-05-11,1764446798
2021-05-04,2002545093
2021-04-27,1811881467
2021-04-20,1679866196
2021-04-13,2356682355
2021-04-06,2084066639
2021-03-30,1929802207
2021-03-23,1782133063
2021-03-16,1893107194
2021-03-09,1435039688
2021-03-02,1274371577
2021-02-23,1109275506
2021-02-16,1137788811
2021-02-09,962478561
2021-02-02,610335684
2021-01-26,650781993
2021-01-19,618817004
2021-01-12,370070764
2021-01-05,329010207
2020-12-29,289191872
2020-12-22,280595737
2020-12-15,220048314
2020-12-08,216790353
2020-12-01,222343601
2020-11-24,231374725
