date,marketCap
2025-03-07,3425475064
2025-02-28,3065692396
2025-02-21,3933747169
2025-02-14,4200210100
2025-02-07,4270786605
2025-01-31,4941511984
2025-01-24,4274606882
2025-01-17,1755922870
2025-01-10,1752014417
2025-01-03,2086586208
2024-12-27,2094808483
2024-12-20,2534725250
2024-12-13,2522719618
2024-12-06,2420026285
2024-11-29,1581587511
2024-11-22,1461477245
2024-11-15,1197788384
2024-11-08,1069735157
2024-11-01,996896262
2024-10-25,1091143920
2024-10-18,1023049843
2024-10-11,971919018
2024-10-04,969139686
2024-09-27,1172423295
2024-09-20,945441064
2024-09-13,919818120
2024-09-06,822906130
2024-08-30,946247188
2024-08-23,1045035641
2024-08-16,1042356478
2024-08-09,1113573537
2024-08-02,1310004851
2024-07-26,1374448812
2024-07-19,1521000443
2024-07-12,1393455478
2024-07-05,1502012131
2024-06-28,1681771916
2024-06-21,1794305261
2024-06-14,1778319658
2024-06-07,1951672196
2024-05-31,1706405620
2024-05-24,1538983242
2024-05-17,1246032256
2024-05-10,1179933521
2024-05-03,1163092283
2024-04-26,1181279185
2024-04-19,1106371043
2024-04-12,1186090928
2024-04-05,1165864636
2024-03-29,1309499196
2024-03-22,1082492640
2024-03-15,796383454
2024-03-08,866378603
2024-03-01,627772941
2024-02-23,620479946
2024-02-16,376678762
2024-02-09,331645390
2024-02-02,301173875
2024-01-26,322727015
