date,marketCap
2025-03-07,2145981061
2025-02-28,2375589627
2025-02-21,2638771426
2025-02-14,2712056900
2025-02-07,2528289524
2025-01-31,3532522517
2025-01-24,3742423522
2025-01-17,3999650942
2025-01-10,3784024008
2025-01-03,4065173739
2024-12-27,3997214822
2024-12-20,4026795128
2024-12-13,5212804287
2024-12-06,5705537354
2024-11-29,4553126765
2024-11-22,3602685572
2024-11-15,2836486413
2024-11-08,2658370001
2024-11-01,2457952940
2024-10-25,2729487979
2024-10-18,2770263387
2024-10-11,2789983633
2024-10-04,2839239474
2024-09-27,3142327998
2024-09-20,2893589231
2024-09-13,2671606378
2024-09-06,2052910538
2024-08-30,108712288
2024-08-23,130763450
2024-08-16,97629702
2024-08-09,104458355
2024-08-02,113147220
2024-07-26,112342001
2024-07-19,116414220
2024-07-12,111702152
2024-07-05,110249985
2024-06-28,122933362
2024-06-21,114135033
2024-06-14,116393918
2024-06-07,140433213
2024-05-31,122558000
2024-05-24,126241943
2024-05-17,111303575
2024-05-10,111702508
2024-05-03,113120385
2024-04-26,112137795
2024-04-19,104994418
2024-04-12,118849878
2024-04-05,122441052
2024-03-29,115830261
2024-03-22,114844126
2024-03-15,140347575
2024-03-08,128065946
2024-03-01,111575647
2024-02-23,106201012
2024-02-16,95386803
2024-02-09,87221353
2024-02-02,83614888
2024-01-26,65632714
2024-01-19,65011865
2024-01-12,72638411
2024-01-05,69694408
2023-12-29,74675330
2023-12-22,61036797
2023-12-15,62696808
2023-12-08,59575696
2023-12-01,51264206
2023-11-24,51660739
2023-11-17,50328267
2023-11-10,51715970
2023-11-03,43253065
2023-10-27,37659317
