date,marketCap
2025-03-05,1282709287
2025-02-26,1456187937
2025-02-19,1390362974
2025-02-12,1290438739
2025-02-05,1334394528
2025-01-29,1410807166
2025-01-22,1680858949
2025-01-15,1526420505
2025-01-08,1577274967
2025-01-01,1547149202
2024-12-25,1761906813
2024-12-18,1862302119
2024-12-11,2013061042
2024-12-04,2076957568
2024-11-27,1365011344
2024-11-20,1332040557
2024-11-13,919049721
2024-11-06,826625177
2024-10-30,902506548
2024-10-23,944146026
2024-10-16,989107745
2024-10-09,969451163
2024-10-02,1000350529
2024-09-25,1129553228
2024-09-18,1011057547
2024-09-11,1060589145
2024-09-04,880387854
2024-08-28,926285996
2024-08-21,925292542
2024-08-14,942450665
2024-08-07,889644052
2024-07-31,1001192708
2024-07-24,1059401229
2024-07-17,1153352271
2024-07-10,1043849408
2024-07-03,1166028471
2024-06-26,1113962821
2024-06-19,1108138787
2024-06-12,1225894336
2024-06-05,1326758174
2024-05-29,1336600607
2024-05-22,1420392712
2024-05-15,1348850471
2024-05-08,1407454568
2024-05-01,1449912527
2024-04-24,1588792234
2024-04-17,1502515859
2024-04-10,1695812248
2024-04-03,1742621149
2024-03-27,2033377633
2024-03-20,1625336206
2024-03-13,2000963558
2024-03-06,1724135870
2024-02-28,1589744850
2024-02-21,1590801831
2024-02-14,1505495691
2024-02-07,1499188226
2024-01-31,1526863028
2024-01-24,1520944900
2024-01-17,1732799006
2024-01-10,1690728863
2024-01-03,1969506158
2023-12-27,2093978224
2023-12-20,1553353907
2023-12-13,1615202677
2023-12-06,1563778916
2023-11-29,1451410999
2023-11-22,1390485997
2023-11-15,1481019735
2023-11-08,1463721264
2023-11-01,1500935551
2023-10-25,1424397316
2023-10-18,1247509498
2023-10-11,1243878141
2023-10-04,1279193737
2023-09-27,1265750396
2023-09-20,1336914066
2023-09-13,1348554610
2023-09-06,1445852788
2023-08-30,1472108764
2023-08-23,1456036347
2023-08-16,1467494614
2023-08-09,1486299742
2023-08-02,1569538911
2023-07-26,1486299092
2023-07-19,1456821456
2023-07-12,1487869094
2023-07-05,1565881659
2023-06-28,1561723228
2023-06-21,1453409614
2023-06-14,1450940917
2023-06-07,1701006939
2023-05-31,1699841572
2023-05-24,1494782343
2023-05-17,1541592800
2023-05-10,1523926639
