date,marketCap
2025-03-01,1978851226
2025-02-22,2158727443
2025-02-15,2444784844
2025-02-08,2134695871
2025-02-01,3025874496
2025-01-25,3555109527
2025-01-18,4134095738
2025-01-11,3776213446
2025-01-04,4165861963
2024-12-28,3612836246
2024-12-21,3821917208
2024-12-14,4858585039
2024-12-07,5426505548
2024-11-30,4539884152
2024-11-23,3910702341
2024-11-16,2726935953
2024-11-09,1949575926
2024-11-02,1844127768
2024-10-26,1797399207
2024-10-19,2125526404
2024-10-12,1991851270
2024-10-05,2230333333
2024-09-28,2635963802
2024-09-21,2067103445
2024-09-14,2053898273
2024-09-07,1837359589
2024-08-31,2062409909
2024-08-24,2192876507
2024-08-17,1760281943
2024-08-10,1903453399
2024-08-03,1933286003
2024-07-27,2664669214
2024-07-20,2611805221
2024-07-13,2389251678
2024-07-06,2480701793
2024-06-29,2859342472
2024-06-22,2906554955
2024-06-15,3090725832
2024-06-08,3732049415
2024-06-01,3942554507
2024-05-25,3931975891
2024-05-18,3921264728
2024-05-11,4262960685
2024-05-04,3197532488
2024-04-27,3144067486
2024-04-20,3061429525
2024-04-13,3141657304
2024-04-06,3531883114
2024-03-30,4186965106
2024-03-23,4048329806
2024-03-16,4226878587
2024-03-09,4001344672
2024-03-02,2988149633
2024-02-24,2804797029
2024-02-17,2004891324
2024-02-10,1778596978
2024-02-03,1727625096
2024-01-27,1470907534
2024-01-20,1550488755
2024-01-13,1439164308
2024-01-06,1493021028
2023-12-30,1723748431
2023-12-23,1674982188
2023-12-16,1633349049
2023-12-09,1454826764
2023-12-02,1324982329
2023-11-25,1267304321
2023-11-18,1140519258
2023-11-11,896520659
2023-11-04,849648187
2023-10-28,843048629
2023-10-21,732028923
2023-10-14,650468107
2023-10-07,679250463
2023-09-30,572247785
2023-09-23,596512811
2023-09-16,596891766
2023-09-09,541103853
2023-09-02,497936387
2023-08-26,546461032
2023-08-19,528443697
2023-08-12,620063402
2023-08-05,639666406
2023-07-29,669072227
2023-07-22,696387743
2023-07-15,747403966
2023-07-08,718337207
2023-07-01,749526097
2023-06-24,800131306
2023-06-17,707362030
2023-06-10,839565891
2023-06-03,941927793
2023-05-27,998257170
2023-05-20,849384325
2023-05-13,659386557
2023-05-06,796717368
2023-04-29,863331523
2023-04-22,595478097
2023-04-15,633566385
2023-04-08,470173886
2023-04-01,494439017
2023-03-25,439651037
2023-03-18,549567270
2023-03-11,382523981
2023-03-04,488190578
2023-02-25,520923691
2023-02-18,634456538
2023-02-11,506913857
2023-02-04,565281499
2023-01-28,279724182
2023-01-21,228267644
2023-01-14,176652681
2023-01-07,135577889
2022-12-31,131282414
2022-12-24,139196634
2022-12-17,140377842
2022-12-10,167466026
2022-12-03,153206786
2022-11-26,141237619
2022-11-19,152305260
2022-11-12,173276030
2022-11-05,232733952
2022-10-29,169035034
2022-10-22,134659899
2022-10-15,122879048
2022-10-08,140274062
2022-10-01,138561854
2022-09-24,144771588
2022-09-17,138442268
2022-09-10,161780144
2022-09-03,149939368
2022-08-27,148277783
2022-08-20,159666308
2022-08-13,209631704
2022-08-06,219402606
2022-07-30,166350723
2022-07-23,150198798
2022-07-16,132261628
2022-07-09,133005535
2022-07-02,125102300
2022-06-25,142766827
2022-06-18,87784619
2022-06-11,157441094
2022-06-04,181277350
2022-05-28,176471911
2022-05-21,222157484
2022-05-14,217387147
2022-05-07,368075806
2022-04-30,338535488
2022-04-23,469401631
2022-04-16,494089157
2022-04-09,591518253
2022-04-02,684106701
2022-03-26,636099052
2022-03-19,591688202
2022-03-12,553114119
2022-03-05,552211134
2022-02-26,570075853
2022-02-19,596742819
2022-02-12,590489898
2022-02-05,796723028
2022-01-29,585794303
2022-01-22,494760267
2022-01-15,728216671
2022-01-08,763165403
2022-01-01,900323028
2021-12-25,1094422966
2021-12-18,813691426
2021-12-11,665580470
2021-12-04,974183598
2021-11-27,1102082074
2021-11-20,1218812934
2021-11-13,537586353
2021-11-06,248716159
2021-10-30,186982457
2021-10-23,175844106
2021-10-16,159417822
2021-10-09,169643037
2021-10-02,161370394
2021-09-25,157677930
2021-09-18,182556977
2021-09-11,185944027
2021-09-04,215543193
2021-08-28,220416113
2021-08-21,219080946
2021-08-14,154579222
2021-08-07,180995122
2021-07-31,115665170
2021-07-24,120664661
2021-07-17,103534811
2021-07-10,102259172
2021-07-03,76795334
2021-06-26,77131830
2021-06-19,83848914
2021-06-12,85959047
2021-06-05,110687718
2021-05-29,124211799
2021-05-22,121667176
2021-05-15,140217011
2021-05-08,152619134
2021-05-01,178480367
2021-04-24,154015560
2021-04-17,234805747
2021-04-10,310218068
2021-04-03,257079542
2021-03-27,244501559
2021-03-20,109252160
2021-03-13,65228787
2021-03-06,46361437
2021-02-27,36551011
2021-02-20,36313162
2021-02-13,25797915
2021-02-06,20259374
2021-01-30,16236939
2021-01-23,14294032
2021-01-16,13605206
2021-01-09,13875162
2021-01-02,15502977
2020-12-26,16189680
2020-12-19,18640949
2020-12-12,20500229
2020-12-05,23207390
2020-11-28,15110021
2020-11-21,15453988
2020-11-14,17048472
