date,marketCap
2025-03-08,1045613523
2025-03-01,1170476258
2025-02-22,1188187240
2025-02-15,1075467357
2025-02-08,962949162
2025-02-01,1471898202
2025-01-25,1506332157
2025-01-18,1888235363
2025-01-11,1638358239
2025-01-04,1919956661
2024-12-28,1741562376
2024-12-21,1852576035
2024-12-14,2378396691
2024-12-07,2827172891
2024-11-30,2701802186
2024-11-23,2176834921
2024-11-16,1961492424
2024-11-09,1680149289
2024-11-02,1418220162
2024-10-26,1376855796
2024-10-19,1667470170
2024-10-12,1575180062
2024-10-05,1477828547
2024-09-28,1626307888
2024-09-21,1240425659
2024-09-14,1008117025
2024-09-07,867111122
2024-08-31,971082051
2024-08-24,1084283674
2024-08-17,881769976
2024-08-10,913264136
2024-08-03,886235099
2024-07-27,1183294973
2024-07-20,1224043847
2024-07-13,949513139
2024-07-06,835442044
2024-06-29,1038155322
2024-06-22,1107138267
2024-06-15,1226777696
2024-06-08,1509878115
2024-06-01,1483805856
2024-05-25,1510871402
2024-05-18,1641825017
2024-05-11,1423581308
2024-05-04,1596712014
2024-04-27,1637019772
2024-04-20,1566983026
2024-04-13,1543631548
2024-04-06,1860350140
2024-03-30,2228857568
2024-03-23,2114698370
2024-03-16,2789670916
2024-03-09,2371815093
2024-03-02,2191730764
2024-02-24,2017017069
2024-02-17,2421861312
2024-02-10,1710973319
2024-02-03,1538385208
2024-01-27,1623958349
2024-01-20,1696173667
2024-01-13,1558831929
2024-01-06,1646418739
2023-12-30,1261543421
2023-12-23,813959938
2023-12-16,533873664
2023-12-09,611355049
2023-12-02,448025826
2023-11-25,434215749
2023-11-18,260192782
2023-11-11,231823628
2023-11-04,201916849
2023-10-28,191873981
2023-10-21,180040030
2023-10-14,187943166
2023-10-07,211283995
2023-09-30,217234798
2023-09-23,225768576
2023-09-16,224324631
2023-09-09,231267251
2023-09-02,256505776
2023-08-26,254110484
2023-08-19,304696480
