date,marketCap
2025-03-05,1296045281
2025-02-26,1346416693
2025-02-19,1443062308
2025-02-12,1441986311
2025-02-05,1436644318
2025-01-29,1300058843
2025-01-22,1306900756
2025-01-15,1275109903
2025-01-08,1314351230
2025-01-01,1218423299
2024-12-25,1299978999
2024-12-18,1438022996
2024-12-11,1430602514
2024-12-04,1450211623
2024-11-27,1433441574
2024-11-20,1537314623
2024-11-13,1368429812
2024-11-06,1076128866
2024-10-30,1089509915
2024-10-23,1061603318
2024-10-16,1170810360
2024-10-09,1169202191
2024-10-02,1234630915
2024-09-25,1333606488
2024-09-18,1279604330
2024-09-11,1158572571
2024-09-04,1107163693
