date,marketCap
2025-03-05,1070637250
2025-02-26,1187179015
2025-02-19,1324753052
2025-02-12,1414096327
2025-02-05,1532822780
2025-01-29,1854474880
2025-01-22,2231678976
2025-01-15,2264517219
2025-01-08,2422355618
2025-01-01,2321925380
2024-12-25,2658356620
2024-12-18,3435940380
2024-12-11,3279457567
2024-12-04,3775124015
2024-11-27,3176734987
2024-11-20,2853237131
2024-11-13,3069938774
2024-11-06,2282854255
2024-10-30,2809229854
2024-10-23,2712746821
2024-10-16,2734919948
2024-10-09,2596776242
2024-10-02,2558977423
2024-09-25,2917704972
2024-09-18,2271560702
2024-09-11,2397169917
2024-09-04,2117862941
2024-08-28,2591892464
2024-08-21,2205927163
2024-08-14,2263251762
2024-08-07,1939318900
2024-07-31,2639124037
2024-07-24,2590391622
2024-07-17,2839715804
2024-07-10,2038661989
2024-07-03,2459492582
2024-06-26,2616740139
2024-06-19,2363401048
2024-06-12,3219125630
2024-06-05,3156687943
2024-05-29,2901108949
2024-05-22,3167307426
2024-05-15,2766227449
2024-05-08,3130097419
2024-05-01,3149070488
2024-04-24,4188204656
2024-04-17,3487993437
2024-04-10,4624148585
2024-04-03,4795090222
2024-03-27,5011700489
2024-03-20,3929630375
2024-03-13,4376041295
2024-03-06,3975411989
2024-02-28,4245669096
2024-02-21,3913602381
2024-02-14,3075772021
2024-02-07,2158058439
2024-01-31,2202350212
2024-01-24,1994380450
2024-01-17,2345695517
2024-01-10,2641147636
2024-01-03,2222249878
2023-12-27,2331845383
2023-12-20,1677125633
2023-12-13,1331600110
2023-12-06,1666922853
2023-11-29,1024533185
2023-11-22,837638391
2023-11-15,882789076
2023-11-08,953597478
2023-11-01,888687292
2023-10-25,963063258
2023-10-18,784277800
2023-10-11,704923690
2023-10-04,690989035
2023-09-27,643735342
2023-09-20,691015142
2023-09-13,620381620
2023-09-06,667768908
2023-08-30,738131132
2023-08-23,657527610
2023-08-16,777511657
2023-08-09,835617362
2023-08-02,852313157
2023-07-26,831235576
2023-07-19,878386673
2023-07-12,913306243
2023-07-05,968983656
2023-06-28,987791225
2023-06-21,1037036677
2023-06-14,739304418
2023-06-07,827962671
2023-05-31,869170910
2023-05-24,884747896
2023-05-17,884324968
2023-05-10,964103367
2023-05-03,1036467277
2023-04-26,1027800535
2023-04-19,1180193037
2023-04-12,1325448026
2023-04-05,1200874917
2023-03-29,1283334765
2023-03-22,1566425292
2023-03-15,1320912890
2023-03-08,941742338
2023-03-01,1211792901
2023-02-22,874137879
2023-02-15,422349808
2023-02-08,427326209
2023-02-01,378563477
2023-01-25,376426988
2023-01-18,367979345
2023-01-11,322148539
2023-01-04,291552154
2022-12-28,301458482
2022-12-21,314115525
2022-12-14,408100331
2022-12-07,352899602
2022-11-30,342667311
2022-11-23,306990102
2022-11-16,335814570
2022-11-09,376657181
2022-11-02,422661095
2022-10-26,415881418
2022-10-19,410392477
2022-10-12,416200312
2022-10-05,441015022
2022-09-28,441311977
2022-09-21,449683990
2022-09-14,467596462
2022-09-07,458361756
2022-08-31,485282844
2022-08-24,521281304
2022-08-17,639771549
2022-08-10,645286227
2022-08-03,591808280
2022-07-27,527971672
2022-07-20,591848533
2022-07-13,483685216
2022-07-06,529761210
2022-06-29,442610158
2022-06-22,427815443
2022-06-15,362353980
2022-06-08,574184468
2022-06-01,598007521
2022-05-25,630815675
2022-05-18,611469687
2022-05-11,719150686
2022-05-04,973367373
2022-04-27,1091549488
2022-04-20,1286370796
2022-04-13,1233853786
2022-04-06,1494424326
2022-03-30,1520853035
2022-03-23,1379296578
2022-03-16,1287613699
2022-03-09,1122682809
2022-03-02,1351974815
2022-02-23,1222540161
2022-02-16,1680975894
2022-02-09,1803189529
2022-02-02,1593828913
2022-01-26,1451422972
2022-01-19,2483070152
2022-01-12,2252221347
2022-01-05,2503942880
2021-12-29,2484578786
2021-12-22,2292940988
2021-12-15,2051168729
2021-12-08,2412108749
2021-12-01,2786829575
2021-11-24,2194314958
2021-11-17,2303097001
2021-11-10,2341525521
2021-11-03,2081070492
2021-10-27,2281163639
2021-10-20,2504063211
2021-10-13,2147206896
2021-10-06,1508111464
2021-09-29,1194402655
2021-09-22,1266543910
2021-09-15,1641281058
2021-09-08,1456036653
2021-09-01,1528154938
2021-08-25,1499659268
2021-08-18,1462955150
2021-08-11,1481923958
2021-08-04,1439459154
2021-07-28,1216155364
2021-07-21,859674139
2021-07-14,1248237081
2021-07-07,912373909
2021-06-30,792944228
2021-06-23,638558697
2021-06-16,944989709
2021-06-09,959646246
2021-06-02,1029371927
2021-05-26,1069344330
2021-05-19,1437533115
2021-05-12,1994494575
2021-05-05,2147571829
2021-04-28,2345866056
2021-04-21,2554532591
2021-04-14,2429049585
2021-04-07,2088742374
2021-03-31,1303272589
2021-03-24,1341191879
2021-03-17,1190937809
2021-03-10,1292634899
2021-03-03,1065226769
2021-02-24,772237821
2021-02-17,622056292
2021-02-10,495847910
2021-02-03,425455708
2021-01-27,432705048
2021-01-20,462309248
2021-01-13,443186901
2021-01-06,479010290
2020-12-30,377548938
2020-12-23,259244711
2020-12-16,279751906
2020-12-09,264374686
2020-12-02,219623419
2020-11-25,208092055
2020-11-18,222690208
2020-11-11,198419755
2020-11-04,134780667
2020-10-28,132219315
2020-10-21,145861239
2020-10-14,150003722
2020-10-07,121401146
2020-09-30,132238121
2020-09-23,142921201
2020-09-16,156156020
2020-09-09,184875393
2020-09-02,193921222
2020-08-26,210426331
2020-08-19,209465205
2020-08-12,199167426
2020-08-05,145367075
2020-07-29,119896032
2020-07-22,124255896
2020-07-15,108529008
2020-07-08,93349470
2020-07-01,95416409
2020-06-24,106664257
2020-06-17,102163547
2020-06-10,98923951
2020-06-03,89329597
2020-05-27,87059098
2020-05-20,79687753
2020-05-13,65735112
2020-05-06,66552992
2020-04-29,67229130
2020-04-22,55654717
