date,marketCap
2025-03-08,1045614039
2025-03-01,1166214757
2025-02-22,1320620738
2025-02-15,1418116837
2025-02-08,1316819381
2025-02-01,1930785552
2025-01-25,1972215217
2025-01-18,2514705890
2025-01-11,2178801724
2025-01-04,2495897251
2024-12-28,2170184846
2024-12-21,2113807080
2024-12-14,2726869133
2024-12-07,3144416629
2024-11-30,2419006031
2024-11-23,1780841288
2024-11-16,1367555360
2024-11-09,1221731499
2024-11-02,1113984004
2024-10-26,1128027620
2024-10-19,1300094016
2024-10-12,1285849286
2024-10-05,1278871602
2024-09-28,1519600179
2024-09-21,1413779829
2024-09-14,1292386830
2024-09-07,1090620538
2024-08-31,1221429241
2024-08-24,1414808639
2024-08-17,1141312513
2024-08-10,1174401316
2024-08-03,1240310656
2024-07-27,1506152678
2024-07-20,1577562620
2024-07-13,1392038056
2024-07-06,1274481519
2024-06-29,1507185931
2024-06-22,1502798527
2024-06-15,1662650551
2024-06-08,1998909405
2024-06-01,2141077671
2024-05-25,2321924045
2024-05-18,2220445174
2024-05-11,2079430760
2024-05-04,2186435500
2024-04-27,2378118332
2024-04-20,2068284995
2024-04-13,2442643408
2024-04-06,2593203689
2024-03-30,2931520291
2024-03-23,2787989110
2024-03-16,3100118887
2024-03-09,3044410847
2024-03-02,2027973225
2024-02-24,1198354252
2024-02-17,1123735215
2024-02-10,1036245413
2024-02-03,1000256699
2024-01-27,981657895
2024-01-20,1006298972
2024-01-13,1046013807
2024-01-06,1146703657
2023-12-30,1272359079
2023-12-23,1157927710
2023-12-16,1045407956
2023-12-09,1160911983
2023-12-02,995275310
2023-11-25,988272124
2023-11-18,928596019
2023-11-11,1037294517
2023-11-04,753308163
2023-10-28,643739073
2023-10-21,587127441
2023-10-14,581243425
2023-10-07,623837391
2023-09-30,646314970
2023-09-23,598825428
2023-09-16,613854604
2023-09-09,633516132
2023-09-02,602615021
2023-08-26,635592471
2023-08-19,626317639
2023-08-12,747214532
2023-08-05,758599147
2023-07-29,793334067
2023-07-22,808047597
2023-07-15,803059508
2023-07-08,724201181
2023-07-01,730085900
2023-06-24,753813574
2023-06-17,652648346
2023-06-10,747857013
2023-06-03,842326865
2023-05-27,844413507
2023-05-20,916373413
2023-05-13,911920593
2023-05-06,1002935483
2023-04-29,1007790541
2023-04-22,989948166
2023-04-15,1126774854
2023-04-08,1061165906
2023-04-01,1041701495
2023-03-25,1022813947
2023-03-18,1090592822
2023-03-11,912256445
2023-03-04,1053205071
2023-02-25,1173950628
2023-02-18,1209664700
2023-02-11,1054791578
2023-02-04,1119522975
2023-01-28,1122018958
2023-01-21,1010161425
2023-01-14,894892178
2023-01-07,759884092
2022-12-31,730033739
2022-12-24,780574383
2022-12-17,739846755
2022-12-10,861166974
2022-12-03,922302580
2022-11-26,921838933
2022-11-19,903927158
2022-11-12,955811074
2022-11-05,1290225373
2022-10-29,1153811024
2022-10-22,994882422
2022-10-15,989772914
2022-10-08,1060971622
2022-10-01,1075826654
2022-09-24,1147009697
2022-09-17,1082154298
2022-09-10,1185398295
2022-09-03,1136041243
2022-08-27,1154730038
2022-08-20,1209863258
2022-08-13,1630948644
2022-08-06,1629491477
2022-07-30,1440792549
2022-07-23,1222697963
2022-07-16,1166163144
2022-07-09,1257162054
2022-07-02,1186041586
2022-06-25,1408197028
2022-06-18,1214253124
2022-06-11,1310046828
2022-06-04,1191991196
2022-05-28,1097987841
2022-05-21,1225832993
2022-05-14,1390987499
2022-05-07,2236690019
2022-04-30,2558675497
2022-04-23,3143567719
2022-04-16,3058093835
2022-04-09,3316260916
2022-04-02,4062705494
2022-03-26,3156547207
