date,marketCap
2025-02-28,8715648897
2025-02-21,8830873954
2025-02-14,9517234481
2025-02-07,9428663221
2025-01-31,12024705574
2025-01-24,13138589895
2025-01-17,13715114954
2025-01-10,13489979317
2025-01-03,13952487206
2024-12-27,15130174174
2024-12-20,13880397037
2024-12-13,16186078597
2024-12-06,17557317726
2024-11-29,16266700724
2024-11-22,13510065417
2024-11-15,13432101227
2024-11-08,12203126356
2024-11-01,12689896205
2024-10-25,13045944421
2024-10-18,13288970471
2024-10-11,12873734992
2024-10-04,13438291038
2024-09-27,14499543609
2024-09-20,14261746335
2024-09-13,13625937523
2024-09-06,11706151595
2024-08-30,13996905896
2024-08-23,16433632848
2024-08-16,17383356155
2024-08-09,13687067525
2024-08-02,17010291181
2024-07-26,17266314205
2024-07-19,17880947603
2024-07-12,18124142981
2024-07-05,19399613933
2024-06-28,18740318416
2024-06-21,16915205991
2024-06-14,18110071205
2024-06-07,17372166292
2024-05-31,15643631493
2024-05-24,22738238260
2024-05-17,24343510297
2024-05-10,20037791778
2024-05-03,17000691311
2024-04-26,19242274815
2024-04-19,21143866222
2024-04-12,23506666313
2024-04-05,17246056050
2024-03-29,17204327465
2024-03-22,14665739807
2024-03-15,14973376292
2024-03-08,9309610810
2024-03-01,8805553508
2024-02-23,7346214797
2024-02-16,7713322770
2024-02-09,7110153568
2024-02-02,7145954800
2024-01-26,7327752585
2024-01-19,8054927914
2024-01-12,7802189191
2024-01-05,7585615982
2023-12-29,7467192236
2023-12-22,7604121447
2023-12-15,531396826
2023-12-08,7730675714
2023-12-01,8291397962
2023-11-24,8283219985
2023-11-17,5121672230
2023-11-10,5777083050
2023-11-03,7605871763
2023-10-27,7361830578
2023-10-20,7056283156
2023-10-13,6859070472
2023-10-06,6749080955
2023-09-29,7477084014
2023-09-22,8295698288
2023-09-15,6521948215
2023-09-08,6272129431
2023-09-01,5912357419
2023-08-25,4903023425
2023-08-18,4813032760
2023-08-11,4334275876
2023-08-04,4102223816
2023-07-28,4667847097
2023-07-21,2010427769
2023-07-14,1948656893
2023-07-07,2034238233
2023-06-30,2014254512
2023-06-23,2025177600
2023-06-16,2055946316
2023-06-09,2414421897
2023-06-02,2704909328
2023-05-26,2897765923
2023-05-19,2895072709
2023-05-12,2935494133
2023-05-05,3014896455
2023-04-28,3285078178
2023-04-21,3348064136
2023-04-14,3229538246
2023-04-07,3424610635
2023-03-31,3134187165
2023-03-24,3524769741
2023-03-17,3640284718
2023-03-10,3517332984
2023-03-03,3698427763
2023-02-24,3620772361
2023-02-17,3444079648
2023-02-10,3375670308
2023-02-03,3523017912
2023-01-27,3436663853
2023-01-20,3288582870
2023-01-13,3237070170
2023-01-06,3301122578
2022-12-30,2875292832
2022-12-23,3691256656
2022-12-16,3619792595
2022-12-09,2676913349
2022-12-02,2588526512
2022-11-25,2589170597
2022-11-18,2550525877
2022-11-11,2016077913
2022-11-04,2295567920
2022-10-28,0
2022-10-21,0
2022-10-14,0
2022-10-07,0
2022-09-30,0
2022-09-23,0
2022-09-16,0
2022-09-09,0
2022-09-02,0
2022-08-26,0
2022-08-19,0
2022-08-12,0
2022-08-05,0
2022-07-29,0
2022-07-22,0
2022-07-15,0
2022-07-08,0
2022-07-01,0
2022-06-24,0
2022-06-17,0
2022-06-10,0
2022-06-03,0
2022-05-27,0
2022-05-20,0
2022-05-13,0
2022-05-06,0
2022-04-29,0
2022-04-22,0
2022-04-15,0
2022-04-08,0
2022-04-01,0
2022-03-25,0
2022-03-18,0
2022-03-11,0
2022-03-04,0
2022-02-25,0
2022-02-18,0
2022-02-11,0
2022-02-04,0
2022-01-28,0
2022-01-21,0
2022-01-14,0
2022-01-07,0
2021-12-31,0
2021-12-24,0
2021-12-17,0
2021-12-10,0
2021-12-03,0
2021-11-26,0
2021-11-19,0
2021-11-12,0
2021-11-05,0
2021-10-29,0
2021-10-22,0
2021-10-15,0
2021-10-08,0
2021-10-01,0
2021-09-24,0
2021-09-17,0
2021-09-10,0
2021-09-03,0
