date,marketCap
2025-02-23,57088551689
2025-02-16,56368613718
2025-02-09,56045142850
2025-02-02,53318824081
2025-01-26,52179538308
2025-01-19,47470815141
2025-01-12,45737930028
2025-01-05,45516879606
2024-12-29,43613839676
2024-12-22,42930532546
2024-12-15,41984734433
2024-12-08,41217555347
2024-12-01,39898927280
2024-11-24,39021138675
2024-11-17,37114966814
2024-11-10,37023288968
2024-11-03,34876377337
2024-10-27,34673531949
2024-10-20,34984975391
2024-10-13,35013385397
2024-10-06,35573099708
2024-09-29,36333264089
2024-09-22,35842497426
2024-09-15,35751155721
2024-09-08,34958889879
2024-09-01,34724859508
2024-08-25,34870903063
2024-08-18,34831557663
2024-08-11,34459345224
2024-08-04,33109726376
2024-07-28,34148847760
2024-07-21,34120490831
2024-07-14,33922415939
2024-07-07,33703986243
2024-06-30,32264498273
2024-06-23,32740612029
2024-06-16,32434944847
2024-06-09,32175456489
2024-06-02,32367745924
2024-05-26,32709493599
2024-05-19,33496396320
2024-05-12,33125559801
2024-05-05,33553569012
2024-04-28,33498303949
2024-04-21,33947195929
2024-04-14,32081468162
2024-04-07,32938114837
2024-03-31,32460741765
2024-03-24,32009320839
2024-03-17,30874004417
2024-03-10,30009494582
2024-03-03,29024244866
2024-02-25,28121822744
2024-02-18,28110334758
2024-02-11,27961853335
2024-02-04,27060629792
2024-01-28,26127764448
2024-01-21,25716146841
2024-01-14,25476679496
2024-01-07,25419111813
2023-12-31,24659690975
2023-12-24,25066546913
2023-12-17,24674549914
2023-12-10,24572867657
2023-12-03,24554766695
2023-11-26,24726023156
2023-11-19,24420316631
2023-11-12,24249243007
2023-11-05,24584454813
2023-10-29,24989725023
2023-10-22,25591119615
2023-10-15,25134530787
2023-10-08,25538082196
2023-10-01,25109326927
2023-09-24,25769013760
2023-09-17,26151982760
2023-09-10,26124853806
2023-09-03,26151762539
2023-08-27,26011880203
2023-08-20,25986054891
2023-08-13,26161944529
2023-08-06,26040360467
2023-07-30,26545084512
2023-07-23,26847685807
2023-07-16,27284376845
2023-07-09,27520618447
2023-07-02,27391541347
2023-06-25,28474568748
2023-06-18,28337781547
2023-06-11,28357858208
2023-06-04,28904346979
2023-05-28,29022835527
2023-05-21,29562931910
2023-05-14,30054743760
2023-05-07,30369654736
2023-04-30,30517472542
2023-04-23,30800816723
2023-04-16,31807237206
2023-04-09,32622414241
2023-04-02,32545586598
2023-03-26,34136834051
2023-03-19,36372068012
2023-03-12,39414641347
2023-03-05,43887802726
2023-02-26,42566004100
2023-02-19,41847466367
2023-02-12,41347003134
2023-02-05,42029296087
2023-01-29,43167479982
2023-01-22,43327364624
2023-01-15,43678264953
2023-01-08,43815414264
2023-01-01,44528657221
2022-12-25,44233781036
2022-12-18,44962564936
2022-12-11,42708116170
2022-12-04,43437755639
2022-11-27,44130944750
2022-11-20,44454698762
2022-11-13,44063041659
2022-11-06,42052836507
2022-10-30,43687403699
2022-10-23,43913475710
2022-10-16,44952268038
2022-10-09,46054961501
2022-10-02,47217028392
2022-09-25,49778209174
2022-09-18,50275732998
2022-09-11,51660632937
2022-09-04,51916991289
2022-08-28,52159828556
2022-08-21,52437858150
2022-08-14,53907543363
2022-08-07,54298760703
2022-07-31,54486021783
2022-07-24,55149837928
2022-07-17,54834591387
2022-07-10,55553592501
2022-07-03,55812518074
2022-06-26,56026893004
2022-06-19,55466165647
2022-06-12,53874889529
2022-06-05,54094959418
2022-05-29,53798595398
2022-05-22,53189636032
2022-05-15,51311542815
2022-05-08,48504620166
2022-05-01,49179894108
2022-04-24,49903732595
2022-04-17,50054012926
2022-04-10,50831613834
2022-04-03,51852952209
2022-03-27,51968286155
2022-03-20,52865924687
2022-03-13,52421564168
2022-03-06,52941838088
2022-02-27,53354079813
2022-02-20,52684758315
2022-02-13,52335045828
2022-02-06,51125781969
2022-01-30,49822470988
2022-01-23,43399887532
2022-01-16,45237354153
2022-01-09,43582658995
2022-01-02,42549565818
2021-12-26,42562441813
2021-12-19,42095692704
2021-12-12,41541216678
2021-12-05,39939629110
2021-11-28,38142698007
2021-11-21,34684904835
2021-11-14,34582367286
2021-11-07,34307622747
2021-10-31,33228774070
2021-10-24,32764610092
2021-10-17,32751068702
2021-10-10,33019345832
2021-10-03,32065396418
2021-09-26,30960933125
2021-09-19,29441841305
2021-09-12,29234449332
2021-09-05,27728110118
2021-08-29,27208835429
2021-08-22,26943862009
2021-08-15,27747983650
2021-08-08,27660079591
2021-08-01,27319676910
2021-07-25,27075645362
2021-07-18,26623730448
2021-07-11,26168294199
2021-07-04,25571786494
2021-06-27,25845805611
2021-06-20,24345717745
2021-06-13,23644275384
2021-06-06,22938639641
2021-05-30,22197384368
2021-05-23,19863377446
2021-05-16,16506100926
2021-05-09,15411075861
2021-05-02,14711500830
2021-04-25,13527497524
2021-04-18,12314666877
2021-04-11,11185465357
2021-04-04,10814220927
2021-03-28,10899687715
2021-03-21,10047460401
2021-03-14,9441975284
2021-03-07,9032233274
2021-02-28,8973026510
2021-02-21,7733340120
2021-02-14,7190053397
2021-02-07,6433917491
2021-01-31,5835791902
2021-01-24,5594771753
2021-01-17,5042504750
2021-01-10,4756435704
2021-01-03,4128120369
2020-12-27,3567381017
2020-12-20,3383803900
2020-12-13,3221104235
2020-12-06,3054098687
2020-11-29,2970456072
2020-11-22,2847988468
