date,marketCap
2025-03-07,4258070354
2025-02-28,3768937542
2025-02-21,3959712209
2025-02-14,3909794483
2025-02-07,3979060350
2025-01-31,4108295933
2025-01-24,4057062044
2025-01-17,3911667484
2025-01-10,3911667484
2025-01-03,3553244907
2024-12-27,3549130689
2024-12-20,3587836715
2024-12-13,3590229611
2024-12-06,3602069641
2024-11-29,3362427931
2024-11-22,3563029078
2024-11-15,3184373706
2024-11-08,2829882828
2024-11-01,2700474127
2024-10-25,2681369253
2024-10-18,2456603481
2024-10-11,1676113530
2024-10-04,1630519867
2024-09-27,1622133141
2024-09-20,1615785253
2024-09-13,1578210341
2024-09-06,1554123736
2024-08-30,1559278772
2024-08-23,1543736425
2024-08-16,1530007180
2024-08-09,1471895516
2024-08-02,1489970643
2024-07-26,1455078549
2024-07-19,1407351852
2024-07-12,1377663132
2024-07-05,1356190995
2024-06-28,1357999819
2024-06-21,1369032542
2024-06-14,1389124547
2024-06-07,1419019217
2024-05-31,1425874641
2024-05-24,1427166314
2024-05-17,1413192092
2024-05-10,1433780115
2024-05-03,1423989175
2024-04-26,1420269070
2024-04-19,1351766306
2024-04-12,1335231253
2024-04-05,1217505149
2024-03-29,1208202588
2024-03-22,1162248484
2024-03-15,1225570978
2024-03-08,1220666343
2024-03-01,1117145087
2024-02-23,1005871618
2024-02-16,1013555568
2024-02-09,951507195
2024-02-02,931926372
2024-01-26,896625106
2024-01-19,904749270
2024-01-12,919089275
2024-01-05,868674064
2023-12-29,836170153
2023-12-22,828244611
2023-12-15,821998343
2023-12-08,814461095
2023-12-01,775061377
2023-11-24,781813536
2023-11-17,776952001
2023-11-10,774570668
2023-11-03,777872493
2023-10-27,805599952
2023-10-20,758951825
2023-10-13,721239554
2023-10-06,749501961
2023-09-29,746667316
2023-09-22,766379964
2023-09-15,768299123
2023-09-08,767496865
2023-09-01,774235865
2023-08-25,781121809
2023-08-18,792217973
2023-08-11,798577673
2023-08-04,813868548
2023-07-28,799366523
2023-07-21,793181176
2023-07-14,793536272
2023-07-07,776697307
2023-06-30,740649468
2023-06-23,705091482
2023-06-16,678843193
2023-06-09,692995867
2023-06-02,706355056
2023-05-26,657952601
2023-05-19,670766848
2023-05-12,674627661
2023-05-05,686911869
2023-04-28,692288625
2023-04-21,682602865
2023-04-14,692964517
2023-04-07,715311886
2023-03-31,762097231
2023-03-24,714072168
2023-03-17,618542387
2023-03-10,523839789
2023-03-03,557906655
2023-02-24,565238229
2023-02-17,598090858
2023-02-10,447284160
2023-02-03,0
2023-01-27,0
2023-01-20,0
2023-01-13,0
2023-01-06,0
2022-12-30,0
2022-12-23,531546061
2022-12-16,593197949
2022-12-09,569233350
2022-12-02,582958244
2022-11-25,594565435
2022-11-18,658973978
2022-11-11,746330806
2022-11-04,1075987972
2022-10-28,1627998871
2022-10-21,1528405624
