date,marketCap
2025-03-09,966857887
2025-03-02,1180506355
2025-02-23,1317562538
2025-02-16,1254629229
2025-02-09,1251762246
2025-02-02,1590065663
2025-01-26,1995261116
2025-01-19,1963714971
2025-01-12,1934958120
2025-01-05,2029203225
2024-12-29,1840530079
2024-12-22,1738486544
2024-12-15,2239783425
2024-12-08,2818909222
2024-12-01,2601744512
2024-11-24,1657337076
2024-11-17,1540950898
2024-11-10,1289510833
2024-11-03,1080904580
2024-10-27,1154133412
2024-10-20,1349106210
2024-10-13,1107991933
2024-10-06,912498351
2024-09-29,970394479
2024-09-22,754847932
2024-09-15,661697269
2024-09-08,563133074
2024-09-01,594375183
2024-08-25,719799277
2024-08-18,531621357
2024-08-11,584621512
2024-08-04,548528331
2024-07-28,698371899
2024-07-21,744124237
2024-07-14,500990549
2024-07-07,532118640
2024-06-30,655828770
2024-06-23,731837850
2024-06-16,817193326
2024-06-09,999519723
2024-06-02,1089675283
2024-05-26,1043141976
2024-05-19,1065922204
2024-05-12,1212162872
2024-05-05,1031574261
2024-04-28,963776978
2024-04-21,1073699087
2024-04-14,824853062
2024-04-07,1244748417
2024-03-31,1346568938
2024-03-24,1325453858
2024-03-17,1293698108
2024-03-10,1740635292
2024-03-03,1104402974
2024-02-25,1096999390
2024-02-18,611277182
2024-02-11,310381933
2024-02-04,286237309
2024-01-28,285065430
2024-01-21,289343323
2024-01-14,318963336
2024-01-07,305315222
2023-12-31,391261763
2023-12-24,361668545
2023-12-17,392829219
2023-12-10,300833934
2023-12-03,302121477
2023-11-26,320482471
2023-11-19,236564736
2023-11-12,219703315
2023-11-05,208395568
2023-10-29,203582099
2023-10-22,204292978
2023-10-15,201255884
2023-10-08,211735975
2023-10-01,220856845
2023-09-24,196752212
2023-09-17,196467275
2023-09-10,149810747
2023-09-03,145799297
2023-08-27,164517465
2023-08-20,187132423
2023-08-13,219078630
2023-08-06,252021698
2023-07-30,265653510
