date,marketCap
2025-03-09,1189505795
2025-03-02,1254410787
2025-02-23,1364537405
2025-02-16,1559934267
2025-02-09,1394490851
2025-02-02,1591866078
2025-01-26,1740740445
2025-01-19,2026156560
2025-01-12,1512556508
2025-01-05,1373957737
2024-12-29,1124704412
2024-12-22,1115786770
2024-12-15,1188792737
2024-12-08,1374820077
2024-12-01,913861004
2024-11-24,814344550
2024-11-17,705704494
2024-11-10,437388335
2024-11-03,402885847
2024-10-27,406629160
2024-10-20,414310226
2024-10-13,422689495
2024-10-06,436095748
2024-09-29,432978161
2024-09-22,427688480
2024-09-15,398667248
2024-09-08,393839199
2024-09-01,395089203
2024-08-25,391839953
2024-08-18,396271781
2024-08-11,394272480
2024-08-04,417274993
2024-07-28,462219972
2024-07-21,450043968
2024-07-14,458901272
2024-07-07,425450177
2024-06-30,443558414
2024-06-23,479827543
2024-06-16,511307630
2024-06-09,529141673
2024-06-02,554026935
2024-05-26,525810458
2024-05-19,550343666
2024-05-12,510907037
2024-05-05,508495956
2024-04-28,501908873
2024-04-21,551955677
2024-04-14,507618285
2024-04-07,627659173
2024-03-31,681127701
2024-03-24,654326206
2024-03-17,608627071
2024-03-10,624294737
2024-03-03,674894864
2024-02-25,577917362
2024-02-18,585813442
2024-02-11,604523622
2024-02-04,601284621
2024-01-28,632400599
2024-01-21,652961496
2024-01-14,693924784
2024-01-07,707940300
2023-12-31,786209871
2023-12-24,676494722
2023-12-17,703289455
2023-12-10,724367172
2023-12-03,676145350
2023-11-26,691417973
2023-11-19,738588800
2023-11-12,763054975
2023-11-05,724763977
2023-10-29,677289201
2023-10-22,637244465
2023-10-15,676201913
2023-10-08,682680633
2023-10-01,734185330
2023-09-24,711252719
2023-09-17,752244414
2023-09-10,766662445
2023-09-03,813676091
2023-08-27,705892199
2023-08-20,794734659
2023-08-13,888226747
2023-08-06,903691843
2023-07-30,784615104
2023-07-23,786859925
2023-07-16,453179963
2023-07-09,439594763
2023-07-02,449919728
2023-06-25,454767593
2023-06-18,450476635
2023-06-11,468329935
2023-06-04,486343076
2023-05-28,434279555
2023-05-21,454042537
2023-05-14,468778926
2023-05-07,501719474
2023-04-30,548191966
2023-04-23,583631458
2023-04-16,616201286
2023-04-09,560831673
2023-04-02,578642357
2023-03-26,547965758
2023-03-19,478286066
2023-03-12,393316466
2023-03-05,412265246
2023-02-26,358362674
2023-02-19,372849006
2023-02-12,360267348
2023-02-05,398812783
2023-01-29,396097823
2023-01-22,389254253
2023-01-15,377288496
2023-01-08,349886916
2023-01-01,338140512
2022-12-25,355536825
2022-12-18,314957880
2022-12-11,302912185
2022-12-04,303446545
2022-11-27,328075291
2022-11-20,348549562
2022-11-13,355047323
2022-11-06,436478170
2022-10-30,435170689
2022-10-23,421983466
2022-10-16,431177445
2022-10-09,441657046
2022-10-02,437579718
2022-09-25,405522208
2022-09-18,362553762
2022-09-11,355684554
2022-09-04,363729066
2022-08-28,373309033
2022-08-21,442506032
2022-08-14,493366888
2022-08-07,424763412
2022-07-31,412071536
2022-07-24,396145969
2022-07-17,394549581
2022-07-10,373547080
2022-07-03,328579245
2022-06-26,360401659
2022-06-19,362287227
2022-06-12,417592042
2022-06-05,469439377
2022-05-29,484815509
2022-05-22,532184872
2022-05-15,567741401
2022-05-08,766417400
2022-05-01,762776751
2022-04-24,689103177
2022-04-17,668790952
2022-04-10,687706915
2022-04-03,728593126
2022-03-27,727076329
2022-03-20,646834507
2022-03-13,627325107
2022-03-06,616366849
2022-02-27,639180499
2022-02-20,682271184
2022-02-13,730445744
2022-02-06,754494657
2022-01-30,763811677
2022-01-23,746885858
2022-01-16,1073037542
2022-01-09,1020467998
2022-01-02,1285140430
2021-12-26,1029265597
2021-12-19,1045207638
2021-12-12,865388543
2021-12-05,982576253
2021-11-28,1139274051
2021-11-21,1099877948
2021-11-14,1175618625
2021-11-07,1180783963
2021-10-31,1122330742
2021-10-24,1315997963
2021-10-17,1375761454
2021-10-10,1502432556
2021-10-03,1668188777
2021-09-26,1525658843
2021-09-19,1451484849
2021-09-12,1536429898
2021-09-05,1743224910
2021-08-29,1748277905
2021-08-22,2156009278
2021-08-15,1813581616
2021-08-08,956234885
2021-08-01,976083864
2021-07-25,982652366
2021-07-18,959543395
2021-07-11,1136651543
2021-07-04,1246974315
2021-06-27,690176189
2021-06-20,881560777
2021-06-13,615023705
2021-06-06,644890321
2021-05-30,612641734
2021-05-23,665441752
2021-05-16,935917495
2021-05-09,1243347681
2021-05-02,1144352405
2021-04-25,966864280
2021-04-18,1361072385
2021-04-11,915825060
2021-04-04,576823991
2021-03-28,390465054
2021-03-21,402024240
2021-03-14,481288027
2021-03-07,442871725
2021-02-28,372574267
2021-02-21,290341077
2021-02-14,132604133
2021-02-07,121300732
2021-01-31,76197288
2021-01-24,78618213
2021-01-17,72734634
