date,marketCap
2025-03-01,124392769085
2025-02-22,148872353459
2025-02-15,158349869677
2025-02-08,137991646572
2025-02-01,175326105899
2025-01-25,178687952164
2025-01-18,190386076856
2025-01-11,134623347999
2025-01-04,140904684872
2024-12-28,122935306457
2024-12-21,129981103119
2024-12-14,138341252310
2024-12-07,137876201992
2024-11-30,103191548908
2024-11-23,83112386522
2024-11-16,50684897337
2024-11-09,31512175152
2024-11-02,29166533751
2024-10-26,28440409039
2024-10-19,31001905886
2024-10-12,30490054706
2024-10-05,30241736954
2024-09-28,33329346797
2024-09-21,33011549162
2024-09-14,32316749263
2024-09-07,29371557075
2024-08-31,31919312705
2024-08-24,34283938680
2024-08-17,31653017058
2024-08-10,32602368402
2024-08-03,31336203535
2024-07-27,33785118968
2024-07-20,32077743531
2024-07-13,26468721333
2024-07-06,23720339810
2024-06-29,26212053089
2024-06-22,27175338466
2024-06-15,26353878419
2024-06-08,27692854443
2024-06-01,28762498683
2024-05-25,29645509385
2024-05-18,28947104911
2024-05-11,27805566493
2024-05-04,29384228181
2024-04-27,29039049178
2024-04-20,27799384372
2024-04-13,30211663517
2024-04-06,32396767457
2024-03-30,34637766738
2024-03-23,33496651763
2024-03-16,34831116403
2024-03-09,34010002110
2024-03-02,32886853959
2024-02-24,29247448361
2024-02-17,30848652580
2024-02-10,28667316552
2024-02-03,27763092680
2024-01-27,28883619040
2024-01-20,29552099641
2024-01-13,30991395723
2024-01-06,31199856808
2023-12-30,33694900136
2023-12-23,33817623430
2023-12-16,33252169251
2023-12-09,36379328710
2023-12-02,33025200528
2023-11-25,33460685913
2023-11-18,32979032577
2023-11-11,35429255307
2023-11-04,32857616733
2023-10-28,29258986553
2023-10-21,27626342632
2023-10-14,25943808298
2023-10-07,28108307919
2023-09-30,27772381784
2023-09-23,27286994938
2023-09-16,26621227953
2023-09-09,26788569417
2023-09-02,26380844818
2023-08-26,27831757849
2023-08-19,26678600728
2023-08-12,33340650586
2023-08-05,33547950040
2023-07-29,37543055727
2023-07-22,40587624027
2023-07-15,37918177999
2023-07-08,24465410534
2023-07-01,24792368682
2023-06-24,25917023950
2023-06-17,24804635142
2023-06-10,27947393306
2023-06-03,27330411902
2023-05-27,24417347419
2023-05-20,24327746705
2023-05-13,22389881951
2023-05-06,24242740787
2023-04-29,24835475834
2023-04-22,23247077611
2023-04-15,27098938486
