date,coinId,marketCap,open
2025-09-30,bitcoin,2278362523594,114309
2025-09-23,bitcoin,2245929069311,112697
2025-09-16,bitcoin,2297977599505,115397
2025-09-09,bitcoin,2231763512227,112025
2025-09-02,bitcoin,2174100506466,109163
2025-08-26,bitcoin,2194453712376,110185
2025-08-19,bitcoin,2313556987528,116256
2025-08-12,bitcoin,2364060561673,118774
2025-08-05,bitcoin,2292395156144,115139
2025-07-29,bitcoin,2349472897426,118003
2025-07-22,bitcoin,2337365497467,117482
2025-07-15,bitcoin,2383825813674,119834
2025-07-08,bitcoin,2153777588647,108301
2025-07-01,bitcoin,2130471589192,107133
2025-06-24,bitcoin,2097741233587,105512
2025-06-17,bitcoin,2127895470545,106951
2025-06-10,bitcoin,2191877481231,110262
2025-06-03,bitcoin,2104229403095,105885
2025-05-27,bitcoin,2173059855839,109378
2025-05-20,bitcoin,2098485415895,105629
2025-05-13,bitcoin,2044347271866,102877
2025-05-06,bitcoin,1882511286488,94759
2025-04-29,bitcoin,1887067388174,undefined
2025-04-22,bitcoin,1735703747771,87452
2025-04-15,bitcoin,1677843510120,84523
2025-04-08,bitcoin,1581407565278,79179
2025-04-01,bitcoin,1635076581047,82514
2025-03-25,bitcoin,1732715331970,87328
2025-03-18,bitcoin,1667799227887,84075
2025-03-11,bitcoin,1563547150148,78784
2025-03-04,bitcoin,1708198960874,86125
2025-02-25,bitcoin,1814176779160,91397
2025-02-18,bitcoin,1898997753782,95776
2025-02-11,bitcoin,1930742951090,97400
2025-02-04,bitcoin,2011121374512,101467
2025-01-28,bitcoin,2019295541214,101958
2025-01-21,bitcoin,2017837068202,101765
2025-01-14,bitcoin,1870609367805,94456
2025-01-07,bitcoin,2024825178620,102229
2024-12-31,bitcoin,1833188187478,92627
2024-12-24,bitcoin,1874912975787,94645
2024-12-17,bitcoin,2097460193711,106074
2024-12-10,bitcoin,1926047690158,97354
2024-12-03,bitcoin,1896576914276,95833
2024-11-26,bitcoin,1838788677874,93005
2024-11-19,bitcoin,1790917617392,90535
2024-11-12,bitcoin,1756619702929,88637
2024-11-05,bitcoin,1340192510480,67793
2024-10-29,bitcoin,1380874923096,69845
2024-10-22,bitcoin,1332326858574,67395
2024-10-15,bitcoin,1306085613998,66050
2024-10-08,bitcoin,1231091696620,62287
2024-10-01,bitcoin,1249577803402,63243
2024-09-24,bitcoin,1251095079247,63327
2024-09-17,bitcoin,1150499194410,58211
2024-09-10,bitcoin,1126840069632,57049
2024-09-03,bitcoin,1168410293916,59109
2024-08-27,bitcoin,1242487823611,62923
2024-08-20,bitcoin,1176063402362,59575
2024-08-13,bitcoin,1171441797234,59350
2024-08-06,bitcoin,1064889039014,53956
2024-07-30,bitcoin,1317581413497,66770
2024-07-23,bitcoin,1333201881092,67608
2024-07-16,bitcoin,1277806993831,64835
2024-07-09,bitcoin,1117615464652,56665
2024-07-02,bitcoin,1238799172480,62820
2024-06-25,bitcoin,1188964670369,60363
2024-06-18,bitcoin,1309329377373,66460
2024-06-11,bitcoin,1369378888544,69493
2024-06-04,bitcoin,1355484820107,68808
2024-05-28,bitcoin,1366931305389,69367
2024-05-21,bitcoin,1406288649447,71430
2024-05-14,bitcoin,1238994152713,62879
2024-05-07,bitcoin,1244417948316,63172
2024-04-30,bitcoin,1257159131219,63798
2024-04-23,bitcoin,1317058642854,66842
2024-04-16,bitcoin,1247928896841,63431
2024-04-09,bitcoin,1410324678269,71624
2024-04-02,bitcoin,1373784286061,69786
2024-03-26,bitcoin,1371797489739,69939
2024-03-19,bitcoin,1331771923948,67709
2024-03-12,bitcoin,1417772589114,72131
2024-03-05,bitcoin,1333913436699,68187
2024-02-27,bitcoin,1071049856129,54478
2024-02-20,bitcoin,1016146442772,51764
2024-02-13,bitcoin,981463410833,50050
2024-02-06,bitcoin,836630860392,42648
2024-01-30,bitcoin,849198976216,43268
2024-01-23,bitcoin,775020895102,39505
2024-01-16,bitcoin,835225973286,42587
2024-01-09,bitcoin,919666641903,46936
2024-01-02,bitcoin,863804922702,44169
2023-12-26,bitcoin,854524607073,43638
2023-12-19,bitcoin,834757901244,42684
2023-12-12,bitcoin,806178244439,41201
2023-12-05,bitcoin,820527379429,41974
2023-11-28,bitcoin,728040168286,37250
2023-11-21,bitcoin,732673492673,37489
2023-11-14,bitcoin,714263437354,36549
2023-11-07,bitcoin,683644463783,35031
2023-10-31,bitcoin,673508057018,34499
2023-10-24,bitcoin,641535355789,32953
2023-10-17,bitcoin,555338775502,28513
2023-10-10,bitcoin,538282690588,27594
2023-10-03,bitcoin,538323470358,27615
2023-09-26,bitcoin,512103393582,26299
2023-09-19,bitcoin,521346975856,26741
2023-09-12,bitcoin,489502952546,25133
2023-09-05,bitcoin,502409490054,25829
2023-08-29,bitcoin,508350651766,26109
2023-08-22,bitcoin,508491920831,26119
2023-08-15,bitcoin,572242735188,29401
2023-08-08,bitcoin,567529179866,29178
2023-08-01,bitcoin,568333703606,29233
2023-07-25,bitcoin,567051778656,29185
2023-07-18,bitcoin,585500720965,30148
2023-07-11,bitcoin,590311894649,30394
2023-07-04,bitcoin,604507839820,31135
2023-06-27,bitcoin,587134340344,30286
2023-06-20,bitcoin,519667661979,26779
2023-06-13,bitcoin,502562686069,25910
2023-06-06,bitcoin,500593893699,25793
